Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_intersection,age_no_gender,oracle,1,7,32,134,10,0.7704918032786885
multiclustering,Statistic_intersection,age_no_gender,oracle,3,13,69,97,4,0.6010928961748634
multiclustering,Statistic_intersection,age_no_gender,oracle,5,14,103,63,3,0.4207650273224044
multiclustering,Statistic_intersection,age_no_gender,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,age_no_gender,ibm,1,1,4,156,22,0.8579234972677595
multiclustering,Statistic_intersection,age_no_gender,ibm,3,2,8,152,21,0.8415300546448088
multiclustering,Statistic_intersection,age_no_gender,ibm,5,2,15,145,21,0.8032786885245902
multiclustering,Statistic_intersection,age_no_gender,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,age_no_gender,amazon,1,1,4,162,16,0.8907103825136612
multiclustering,Statistic_intersection,age_no_gender,amazon,3,10,48,118,7,0.6994535519125683
multiclustering,Statistic_intersection,age_no_gender,amazon,5,11,96,70,6,0.4426229508196721
multiclustering,Statistic_intersection,age_no_gender,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,age_no_gender,facebook,1,1,1,167,14,0.9180327868852459
multiclustering,Statistic_intersection,age_no_gender,facebook,3,3,5,163,12,0.907103825136612
multiclustering,Statistic_intersection,age_no_gender,facebook,5,9,21,147,6,0.8524590163934426
multiclustering,Statistic_intersection,age_no_gender,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_intersection,age_no_gender,microsoft,1,1,10,153,19,0.8415300546448088
multiclustering,Statistic_intersection,age_no_gender,microsoft,3,3,39,124,17,0.6939890710382514
multiclustering,Statistic_intersection,age_no_gender,microsoft,5,9,73,90,11,0.5409836065573771
multiclustering,Statistic_intersection,age_no_gender,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_intersection,age_no_gender,tesla-motors,1,0,2,178,3,0.9726775956284153
multiclustering,Statistic_intersection,age_no_gender,tesla-motors,3,0,7,173,3,0.9453551912568307
multiclustering,Statistic_intersection,age_no_gender,tesla-motors,5,0,13,167,3,0.912568306010929
multiclustering,Statistic_intersection,age_no_gender,tesla-motors,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,age_no_gender,salesforce,1,0,4,171,8,0.9344262295081968
multiclustering,Statistic_intersection,age_no_gender,salesforce,3,2,56,119,6,0.6612021857923497
multiclustering,Statistic_intersection,age_no_gender,salesforce,5,6,90,85,2,0.4972677595628415
multiclustering,Statistic_intersection,age_no_gender,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_intersection,age_no_gender,uber-com,1,5,61,115,2,0.6557377049180327
multiclustering,Statistic_intersection,age_no_gender,uber-com,3,6,112,64,1,0.3825136612021858
multiclustering,Statistic_intersection,age_no_gender,uber-com,5,6,133,43,1,0.2677595628415301
multiclustering,Statistic_intersection,age_no_gender,uber-com,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_intersection,age_no_gender,adobe,1,1,11,154,17,0.8469945355191257
multiclustering,Statistic_intersection,age_no_gender,adobe,3,2,24,141,16,0.7814207650273224
multiclustering,Statistic_intersection,age_no_gender,adobe,5,4,27,138,14,0.7759562841530054
multiclustering,Statistic_intersection,age_no_gender,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,age_no_gender,google,1,0,4,156,23,0.8524590163934426
multiclustering,Statistic_intersection,age_no_gender,google,3,4,32,128,19,0.7213114754098361
multiclustering,Statistic_intersection,age_no_gender,google,5,9,68,92,14,0.5519125683060109
multiclustering,Statistic_intersection,age_no_gender,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,age_no_gender,twitter,1,5,21,151,6,0.8524590163934426
multiclustering,Statistic_intersection,age_no_gender,twitter,3,7,68,104,4,0.6065573770491803
multiclustering,Statistic_intersection,age_no_gender,twitter,5,9,124,48,2,0.3114754098360656
multiclustering,Statistic_intersection,age_no_gender,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_intersection,age_no_gender,apple,1,0,1,164,18,0.8961748633879781
multiclustering,Statistic_intersection,age_no_gender,apple,3,3,6,159,15,0.8852459016393442
multiclustering,Statistic_intersection,age_no_gender,apple,5,6,34,131,12,0.7486338797814208
multiclustering,Statistic_intersection,age_no_gender,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,age_no_gender,nvidia,1,1,5,175,2,0.9617486338797814
multiclustering,Statistic_intersection,age_no_gender,nvidia,3,2,18,162,1,0.8961748633879781
multiclustering,Statistic_intersection,age_no_gender,nvidia,5,2,31,149,1,0.825136612021858
multiclustering,Statistic_intersection,age_no_gender,nvidia,13,3,180,0,0,0.01639344262295082
