Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_list_frequency,age_no_gender,apple,1,0,2,163,18,0.8907103825136612
multiclustering,Statistic_list_frequency,age_no_gender,apple,3,0,5,160,18,0.8743169398907104
multiclustering,Statistic_list_frequency,age_no_gender,apple,5,1,14,151,17,0.8306010928961749
multiclustering,Statistic_list_frequency,age_no_gender,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,age_no_gender,microsoft,1,0,0,163,20,0.8907103825136612
multiclustering,Statistic_list_frequency,age_no_gender,microsoft,3,0,4,159,20,0.8688524590163934
multiclustering,Statistic_list_frequency,age_no_gender,microsoft,5,2,11,152,18,0.8415300546448088
multiclustering,Statistic_list_frequency,age_no_gender,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_list_frequency,age_no_gender,facebook,1,1,1,167,14,0.9180327868852459
multiclustering,Statistic_list_frequency,age_no_gender,facebook,3,2,16,152,13,0.8415300546448088
multiclustering,Statistic_list_frequency,age_no_gender,facebook,5,6,31,137,9,0.7814207650273224
multiclustering,Statistic_list_frequency,age_no_gender,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_list_frequency,age_no_gender,google,1,0,4,156,23,0.8524590163934426
multiclustering,Statistic_list_frequency,age_no_gender,google,3,2,8,152,21,0.8415300546448088
multiclustering,Statistic_list_frequency,age_no_gender,google,5,7,41,119,16,0.6885245901639344
multiclustering,Statistic_list_frequency,age_no_gender,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,age_no_gender,oracle,1,0,4,162,17,0.8852459016393442
multiclustering,Statistic_list_frequency,age_no_gender,oracle,3,2,16,150,15,0.8306010928961749
multiclustering,Statistic_list_frequency,age_no_gender,oracle,5,6,38,128,11,0.73224043715847
multiclustering,Statistic_list_frequency,age_no_gender,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,age_no_gender,nvidia,1,0,2,178,3,0.9726775956284153
multiclustering,Statistic_list_frequency,age_no_gender,nvidia,3,0,36,144,3,0.7868852459016393
multiclustering,Statistic_list_frequency,age_no_gender,nvidia,5,2,90,90,1,0.5027322404371585
multiclustering,Statistic_list_frequency,age_no_gender,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,age_no_gender,twitter,1,0,4,168,11,0.9180327868852459
multiclustering,Statistic_list_frequency,age_no_gender,twitter,3,7,81,91,4,0.5355191256830601
multiclustering,Statistic_list_frequency,age_no_gender,twitter,5,8,107,65,3,0.3989071038251366
multiclustering,Statistic_list_frequency,age_no_gender,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_list_frequency,age_no_gender,amazon,1,4,2,164,13,0.9180327868852459
multiclustering,Statistic_list_frequency,age_no_gender,amazon,3,6,30,136,11,0.7759562841530054
multiclustering,Statistic_list_frequency,age_no_gender,amazon,5,9,65,101,8,0.6010928961748634
multiclustering,Statistic_list_frequency,age_no_gender,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,age_no_gender,adobe,1,0,5,160,18,0.8743169398907104
multiclustering,Statistic_list_frequency,age_no_gender,adobe,3,0,12,153,18,0.8360655737704918
multiclustering,Statistic_list_frequency,age_no_gender,adobe,5,2,20,145,16,0.8032786885245902
multiclustering,Statistic_list_frequency,age_no_gender,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,age_no_gender,salesforce,1,2,15,160,6,0.8852459016393442
multiclustering,Statistic_list_frequency,age_no_gender,salesforce,3,5,94,81,3,0.46994535519125685
multiclustering,Statistic_list_frequency,age_no_gender,salesforce,5,5,113,62,3,0.366120218579235
multiclustering,Statistic_list_frequency,age_no_gender,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_list_frequency,age_no_gender,tesla-motors,1,1,6,174,2,0.9562841530054644
multiclustering,Statistic_list_frequency,age_no_gender,tesla-motors,3,1,31,149,2,0.819672131147541
multiclustering,Statistic_list_frequency,age_no_gender,tesla-motors,5,2,93,87,1,0.48633879781420764
multiclustering,Statistic_list_frequency,age_no_gender,tesla-motors,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,age_no_gender,ibm,1,3,5,155,20,0.8633879781420765
multiclustering,Statistic_list_frequency,age_no_gender,ibm,3,12,31,129,11,0.7704918032786885
multiclustering,Statistic_list_frequency,age_no_gender,ibm,5,14,65,95,9,0.5956284153005464
multiclustering,Statistic_list_frequency,age_no_gender,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,age_no_gender,uber-com,1,5,117,59,2,0.34972677595628415
multiclustering,Statistic_list_frequency,age_no_gender,uber-com,3,5,143,33,2,0.20765027322404372
multiclustering,Statistic_list_frequency,age_no_gender,uber-com,5,6,157,19,1,0.1366120218579235
multiclustering,Statistic_list_frequency,age_no_gender,uber-com,13,7,176,0,0,0.03825136612021858
