Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_intersection,age_no_gender,nvidia,1,0,1,179,3,0.9781420765027322
standard,Statistic_intersection,age_no_gender,nvidia,3,0,2,178,3,0.9726775956284153
standard,Statistic_intersection,age_no_gender,nvidia,5,1,2,178,2,0.9781420765027322
standard,Statistic_intersection,age_no_gender,nvidia,13,1,10,170,2,0.9344262295081968
standard,Statistic_intersection,age_no_gender,amazon,1,6,19,147,11,0.8360655737704918
standard,Statistic_intersection,age_no_gender,amazon,3,12,43,123,5,0.7377049180327869
standard,Statistic_intersection,age_no_gender,amazon,5,13,74,92,4,0.5737704918032787
standard,Statistic_intersection,age_no_gender,amazon,13,16,125,41,1,0.3114754098360656
standard,Statistic_intersection,age_no_gender,apple,1,3,14,151,15,0.8415300546448088
standard,Statistic_intersection,age_no_gender,apple,3,7,27,138,11,0.7923497267759563
standard,Statistic_intersection,age_no_gender,apple,5,9,37,128,9,0.7486338797814208
standard,Statistic_intersection,age_no_gender,apple,13,13,79,86,5,0.5409836065573771
standard,Statistic_intersection,age_no_gender,ibm,1,13,14,146,10,0.8688524590163934
standard,Statistic_intersection,age_no_gender,ibm,3,17,41,119,6,0.7431693989071039
standard,Statistic_intersection,age_no_gender,ibm,5,17,56,104,6,0.6612021857923497
standard,Statistic_intersection,age_no_gender,ibm,13,23,94,66,0,0.48633879781420764
standard,Statistic_intersection,age_no_gender,uber-com,1,3,9,167,4,0.9289617486338798
standard,Statistic_intersection,age_no_gender,uber-com,3,3,19,157,4,0.8743169398907104
standard,Statistic_intersection,age_no_gender,uber-com,5,5,29,147,2,0.8306010928961749
standard,Statistic_intersection,age_no_gender,uber-com,13,6,60,116,1,0.6666666666666666
standard,Statistic_intersection,age_no_gender,tesla-motors,1,3,5,175,0,0.9726775956284153
standard,Statistic_intersection,age_no_gender,tesla-motors,3,3,14,166,0,0.9234972677595629
standard,Statistic_intersection,age_no_gender,tesla-motors,5,3,26,154,0,0.8579234972677595
standard,Statistic_intersection,age_no_gender,tesla-motors,13,3,57,123,0,0.6885245901639344
standard,Statistic_intersection,age_no_gender,salesforce,1,2,3,172,6,0.9508196721311475
standard,Statistic_intersection,age_no_gender,salesforce,3,3,14,161,5,0.8961748633879781
standard,Statistic_intersection,age_no_gender,salesforce,5,4,19,156,4,0.8743169398907104
standard,Statistic_intersection,age_no_gender,salesforce,13,4,53,122,4,0.6885245901639344
standard,Statistic_intersection,age_no_gender,facebook,1,4,8,160,11,0.8961748633879781
standard,Statistic_intersection,age_no_gender,facebook,3,7,32,136,8,0.7814207650273224
standard,Statistic_intersection,age_no_gender,facebook,5,11,43,125,4,0.7431693989071039
standard,Statistic_intersection,age_no_gender,facebook,13,12,102,66,3,0.4262295081967213
standard,Statistic_intersection,age_no_gender,adobe,1,8,12,153,10,0.8797814207650273
standard,Statistic_intersection,age_no_gender,adobe,3,9,34,131,9,0.7650273224043715
standard,Statistic_intersection,age_no_gender,adobe,5,9,47,118,9,0.6939890710382514
standard,Statistic_intersection,age_no_gender,adobe,13,14,79,86,4,0.546448087431694
standard,Statistic_intersection,age_no_gender,twitter,1,3,6,166,8,0.9234972677595629
standard,Statistic_intersection,age_no_gender,twitter,3,5,24,148,6,0.8360655737704918
standard,Statistic_intersection,age_no_gender,twitter,5,5,34,138,6,0.7814207650273224
standard,Statistic_intersection,age_no_gender,twitter,13,7,63,109,4,0.6338797814207651
standard,Statistic_intersection,age_no_gender,microsoft,1,2,13,150,18,0.8306010928961749
standard,Statistic_intersection,age_no_gender,microsoft,3,4,23,140,16,0.7868852459016393
standard,Statistic_intersection,age_no_gender,microsoft,5,12,46,117,8,0.7049180327868853
standard,Statistic_intersection,age_no_gender,microsoft,13,18,100,63,2,0.4426229508196721
standard,Statistic_intersection,age_no_gender,oracle,1,3,10,156,14,0.8688524590163934
standard,Statistic_intersection,age_no_gender,oracle,3,10,22,144,7,0.8415300546448088
standard,Statistic_intersection,age_no_gender,oracle,5,11,33,133,6,0.7868852459016393
standard,Statistic_intersection,age_no_gender,oracle,13,16,80,86,1,0.5573770491803278
standard,Statistic_intersection,age_no_gender,google,1,6,13,147,17,0.8360655737704918
standard,Statistic_intersection,age_no_gender,google,3,11,51,109,12,0.6557377049180327
standard,Statistic_intersection,age_no_gender,google,5,14,76,84,9,0.5355191256830601
standard,Statistic_intersection,age_no_gender,google,13,22,129,31,1,0.2896174863387978
