Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_list_frequency,age_no_gender,twitter,1,3,10,162,8,0.9016393442622951
standard,Statistic_list_frequency,age_no_gender,twitter,3,6,34,138,5,0.7868852459016393
standard,Statistic_list_frequency,age_no_gender,twitter,5,6,46,126,5,0.7213114754098361
standard,Statistic_list_frequency,age_no_gender,twitter,13,7,92,80,4,0.47540983606557374
standard,Statistic_list_frequency,age_no_gender,salesforce,1,0,3,172,8,0.9398907103825137
standard,Statistic_list_frequency,age_no_gender,salesforce,3,1,3,172,7,0.9453551912568307
standard,Statistic_list_frequency,age_no_gender,salesforce,5,1,11,164,7,0.9016393442622951
standard,Statistic_list_frequency,age_no_gender,salesforce,13,6,51,124,2,0.7103825136612022
standard,Statistic_list_frequency,age_no_gender,adobe,1,2,6,159,16,0.8797814207650273
standard,Statistic_list_frequency,age_no_gender,adobe,3,2,16,149,16,0.825136612021858
standard,Statistic_list_frequency,age_no_gender,adobe,5,2,39,126,16,0.6994535519125683
standard,Statistic_list_frequency,age_no_gender,adobe,13,10,100,65,8,0.4098360655737705
standard,Statistic_list_frequency,age_no_gender,oracle,1,2,5,161,15,0.8907103825136612
standard,Statistic_list_frequency,age_no_gender,oracle,3,4,13,153,13,0.8579234972677595
standard,Statistic_list_frequency,age_no_gender,oracle,5,6,21,145,11,0.825136612021858
standard,Statistic_list_frequency,age_no_gender,oracle,13,9,62,104,8,0.6174863387978142
standard,Statistic_list_frequency,age_no_gender,google,1,6,18,142,17,0.8087431693989071
standard,Statistic_list_frequency,age_no_gender,google,3,10,46,114,13,0.6775956284153005
standard,Statistic_list_frequency,age_no_gender,google,5,10,63,97,13,0.5846994535519126
standard,Statistic_list_frequency,age_no_gender,google,13,19,126,34,4,0.2896174863387978
standard,Statistic_list_frequency,age_no_gender,apple,1,4,15,150,14,0.8415300546448088
standard,Statistic_list_frequency,age_no_gender,apple,3,9,28,137,9,0.7978142076502732
standard,Statistic_list_frequency,age_no_gender,apple,5,12,46,119,6,0.7158469945355191
standard,Statistic_list_frequency,age_no_gender,apple,13,14,93,72,4,0.46994535519125685
standard,Statistic_list_frequency,age_no_gender,amazon,1,3,16,150,14,0.8360655737704918
standard,Statistic_list_frequency,age_no_gender,amazon,3,7,44,122,10,0.7049180327868853
standard,Statistic_list_frequency,age_no_gender,amazon,5,8,61,105,9,0.6174863387978142
standard,Statistic_list_frequency,age_no_gender,amazon,13,11,119,47,6,0.31693989071038253
standard,Statistic_list_frequency,age_no_gender,uber-com,1,2,7,169,5,0.9344262295081968
standard,Statistic_list_frequency,age_no_gender,uber-com,3,3,16,160,4,0.8907103825136612
standard,Statistic_list_frequency,age_no_gender,uber-com,5,4,29,147,3,0.825136612021858
standard,Statistic_list_frequency,age_no_gender,uber-com,13,4,57,119,3,0.6721311475409836
standard,Statistic_list_frequency,age_no_gender,facebook,1,3,22,146,12,0.8142076502732241
standard,Statistic_list_frequency,age_no_gender,facebook,3,7,59,109,8,0.6338797814207651
standard,Statistic_list_frequency,age_no_gender,facebook,5,9,76,92,6,0.5519125683060109
standard,Statistic_list_frequency,age_no_gender,facebook,13,10,124,44,5,0.29508196721311475
standard,Statistic_list_frequency,age_no_gender,tesla-motors,1,0,4,176,3,0.9617486338797814
standard,Statistic_list_frequency,age_no_gender,tesla-motors,3,2,15,165,1,0.912568306010929
standard,Statistic_list_frequency,age_no_gender,tesla-motors,5,3,21,159,0,0.8852459016393442
standard,Statistic_list_frequency,age_no_gender,tesla-motors,13,3,68,112,0,0.6284153005464481
standard,Statistic_list_frequency,age_no_gender,nvidia,1,0,1,179,3,0.9781420765027322
standard,Statistic_list_frequency,age_no_gender,nvidia,3,0,3,177,3,0.9672131147540983
standard,Statistic_list_frequency,age_no_gender,nvidia,5,0,6,174,3,0.9508196721311475
standard,Statistic_list_frequency,age_no_gender,nvidia,13,0,21,159,3,0.8688524590163934
standard,Statistic_list_frequency,age_no_gender,microsoft,1,2,9,154,18,0.8524590163934426
standard,Statistic_list_frequency,age_no_gender,microsoft,3,8,39,124,12,0.7213114754098361
standard,Statistic_list_frequency,age_no_gender,microsoft,5,10,56,107,10,0.639344262295082
standard,Statistic_list_frequency,age_no_gender,microsoft,13,15,107,56,5,0.3879781420765027
standard,Statistic_list_frequency,age_no_gender,ibm,1,10,30,130,13,0.7650273224043715
standard,Statistic_list_frequency,age_no_gender,ibm,3,12,64,96,11,0.5901639344262295
standard,Statistic_list_frequency,age_no_gender,ibm,5,16,84,76,7,0.5027322404371585
standard,Statistic_list_frequency,age_no_gender,ibm,13,22,136,24,1,0.25136612021857924
