Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_intersection,gender_no_age,twitter,1,0,3,169,11,0.9234972677595629
multiclustering,Statistic_intersection,gender_no_age,twitter,3,2,10,162,9,0.8961748633879781
multiclustering,Statistic_intersection,gender_no_age,twitter,5,4,44,128,7,0.7213114754098361
multiclustering,Statistic_intersection,gender_no_age,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_intersection,gender_no_age,apple,1,0,1,164,18,0.8961748633879781
multiclustering,Statistic_intersection,gender_no_age,apple,3,0,12,153,18,0.8360655737704918
multiclustering,Statistic_intersection,gender_no_age,apple,5,2,31,134,16,0.7431693989071039
multiclustering,Statistic_intersection,gender_no_age,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,gender_no_age,microsoft,1,6,39,124,14,0.7103825136612022
multiclustering,Statistic_intersection,gender_no_age,microsoft,3,10,102,61,10,0.3879781420765027
multiclustering,Statistic_intersection,gender_no_age,microsoft,5,14,135,28,6,0.22950819672131148
multiclustering,Statistic_intersection,gender_no_age,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_intersection,gender_no_age,ibm,1,6,28,132,17,0.7540983606557377
multiclustering,Statistic_intersection,gender_no_age,ibm,3,16,97,63,7,0.43169398907103823
multiclustering,Statistic_intersection,gender_no_age,ibm,5,21,131,29,2,0.273224043715847
multiclustering,Statistic_intersection,gender_no_age,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,gender_no_age,uber,1,1,1,175,6,0.9617486338797814
multiclustering,Statistic_intersection,gender_no_age,uber,3,1,8,168,6,0.9234972677595629
multiclustering,Statistic_intersection,gender_no_age,uber,5,1,24,152,6,0.8360655737704918
multiclustering,Statistic_intersection,gender_no_age,uber,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_intersection,gender_no_age,nvidia,1,0,0,180,3,0.9836065573770492
multiclustering,Statistic_intersection,gender_no_age,nvidia,3,0,0,180,3,0.9836065573770492
multiclustering,Statistic_intersection,gender_no_age,nvidia,5,1,1,179,2,0.9836065573770492
multiclustering,Statistic_intersection,gender_no_age,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,gender_no_age,adobe,1,0,0,165,18,0.9016393442622951
multiclustering,Statistic_intersection,gender_no_age,adobe,3,1,9,156,17,0.8579234972677595
multiclustering,Statistic_intersection,gender_no_age,adobe,5,3,33,132,15,0.7377049180327869
multiclustering,Statistic_intersection,gender_no_age,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,gender_no_age,tesla,1,2,67,113,1,0.6284153005464481
multiclustering,Statistic_intersection,gender_no_age,tesla,3,3,109,71,0,0.40437158469945356
multiclustering,Statistic_intersection,gender_no_age,tesla,5,3,142,38,0,0.22404371584699453
multiclustering,Statistic_intersection,gender_no_age,tesla,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,gender_no_age,salesforce,1,1,0,175,7,0.9617486338797814
multiclustering,Statistic_intersection,gender_no_age,salesforce,3,2,2,173,6,0.9562841530054644
multiclustering,Statistic_intersection,gender_no_age,salesforce,5,5,8,167,3,0.9398907103825137
multiclustering,Statistic_intersection,gender_no_age,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_intersection,gender_no_age,google,1,4,11,149,19,0.8360655737704918
multiclustering,Statistic_intersection,gender_no_age,google,3,10,61,99,13,0.5956284153005464
multiclustering,Statistic_intersection,gender_no_age,google,5,16,102,58,7,0.40437158469945356
multiclustering,Statistic_intersection,gender_no_age,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,gender_no_age,amazon,1,0,1,165,17,0.9016393442622951
multiclustering,Statistic_intersection,gender_no_age,amazon,3,6,20,146,11,0.8306010928961749
multiclustering,Statistic_intersection,gender_no_age,amazon,5,10,61,105,7,0.6284153005464481
multiclustering,Statistic_intersection,gender_no_age,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,gender_no_age,facebook,1,0,5,163,15,0.8907103825136612
multiclustering,Statistic_intersection,gender_no_age,facebook,3,4,34,134,11,0.7540983606557377
multiclustering,Statistic_intersection,gender_no_age,facebook,5,9,71,97,6,0.5792349726775956
multiclustering,Statistic_intersection,gender_no_age,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_intersection,gender_no_age,oracle,1,1,6,160,16,0.8797814207650273
multiclustering,Statistic_intersection,gender_no_age,oracle,3,6,24,142,11,0.8087431693989071
multiclustering,Statistic_intersection,gender_no_age,oracle,5,6,37,129,11,0.7377049180327869
multiclustering,Statistic_intersection,gender_no_age,oracle,13,17,166,0,0,0.09289617486338798
