Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,1,0,3,177,3,0.9672131147540983
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,3,0,7,173,3,0.9453551912568307
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,5,2,19,161,1,0.8907103825136612
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,gender_no_age,uber,1,1,84,92,6,0.5081967213114754
multiclustering,Statistic_list_frequency,gender_no_age,uber,3,6,114,62,1,0.37158469945355194
multiclustering,Statistic_list_frequency,gender_no_age,uber,5,6,141,35,1,0.22404371584699453
multiclustering,Statistic_list_frequency,gender_no_age,uber,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_list_frequency,gender_no_age,apple,1,0,1,164,18,0.8961748633879781
multiclustering,Statistic_list_frequency,gender_no_age,apple,3,4,16,149,14,0.8360655737704918
multiclustering,Statistic_list_frequency,gender_no_age,apple,5,7,23,142,11,0.8142076502732241
multiclustering,Statistic_list_frequency,gender_no_age,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,gender_no_age,ibm,1,5,17,143,18,0.8087431693989071
multiclustering,Statistic_list_frequency,gender_no_age,ibm,3,12,32,128,11,0.7650273224043715
multiclustering,Statistic_list_frequency,gender_no_age,ibm,5,17,55,105,6,0.6666666666666666
multiclustering,Statistic_list_frequency,gender_no_age,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,gender_no_age,facebook,1,1,4,164,14,0.9016393442622951
multiclustering,Statistic_list_frequency,gender_no_age,facebook,3,2,30,138,13,0.7650273224043715
multiclustering,Statistic_list_frequency,gender_no_age,facebook,5,3,62,106,12,0.5956284153005464
multiclustering,Statistic_list_frequency,gender_no_age,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,1,1,7,156,19,0.8579234972677595
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,3,2,16,147,18,0.8142076502732241
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,5,3,36,127,17,0.7103825136612022
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_list_frequency,gender_no_age,tesla,1,0,3,177,3,0.9672131147540983
multiclustering,Statistic_list_frequency,gender_no_age,tesla,3,0,30,150,3,0.819672131147541
multiclustering,Statistic_list_frequency,gender_no_age,tesla,5,1,67,113,2,0.6229508196721312
multiclustering,Statistic_list_frequency,gender_no_age,tesla,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,gender_no_age,twitter,1,1,19,153,10,0.8415300546448088
multiclustering,Statistic_list_frequency,gender_no_age,twitter,3,5,65,107,6,0.6120218579234973
multiclustering,Statistic_list_frequency,gender_no_age,twitter,5,5,87,85,6,0.4918032786885246
multiclustering,Statistic_list_frequency,gender_no_age,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_list_frequency,gender_no_age,adobe,1,2,4,161,16,0.8907103825136612
multiclustering,Statistic_list_frequency,gender_no_age,adobe,3,5,30,135,13,0.7650273224043715
multiclustering,Statistic_list_frequency,gender_no_age,adobe,5,11,66,99,7,0.6010928961748634
multiclustering,Statistic_list_frequency,gender_no_age,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,1,1,1,174,7,0.9562841530054644
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,3,1,8,167,7,0.9180327868852459
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,5,2,16,159,6,0.8797814207650273
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_list_frequency,gender_no_age,oracle,1,2,9,157,15,0.8688524590163934
multiclustering,Statistic_list_frequency,gender_no_age,oracle,3,7,36,130,10,0.7486338797814208
multiclustering,Statistic_list_frequency,gender_no_age,oracle,5,7,54,112,10,0.6502732240437158
multiclustering,Statistic_list_frequency,gender_no_age,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,gender_no_age,google,1,3,9,151,20,0.8415300546448088
multiclustering,Statistic_list_frequency,gender_no_age,google,3,8,47,113,15,0.6612021857923497
multiclustering,Statistic_list_frequency,gender_no_age,google,5,14,88,72,9,0.46994535519125685
multiclustering,Statistic_list_frequency,gender_no_age,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,gender_no_age,amazon,1,0,5,161,17,0.8797814207650273
multiclustering,Statistic_list_frequency,gender_no_age,amazon,3,7,59,107,10,0.6229508196721312
multiclustering,Statistic_list_frequency,gender_no_age,amazon,5,15,108,58,2,0.3989071038251366
multiclustering,Statistic_list_frequency,gender_no_age,amazon,13,17,166,0,0,0.09289617486338798
