Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_intersection,gender_no_age,adobe,1,5,18,147,13,0.8306010928961749
standard,Statistic_intersection,gender_no_age,adobe,3,9,31,134,9,0.7814207650273224
standard,Statistic_intersection,gender_no_age,adobe,5,12,51,114,6,0.6885245901639344
standard,Statistic_intersection,gender_no_age,adobe,13,13,91,74,5,0.47540983606557374
standard,Statistic_intersection,gender_no_age,microsoft,1,1,24,139,19,0.7650273224043715
standard,Statistic_intersection,gender_no_age,microsoft,3,7,44,119,13,0.6885245901639344
standard,Statistic_intersection,gender_no_age,microsoft,5,9,54,109,11,0.644808743169399
standard,Statistic_intersection,gender_no_age,microsoft,13,10,88,75,10,0.4644808743169399
standard,Statistic_intersection,gender_no_age,ibm,1,12,22,138,11,0.819672131147541
standard,Statistic_intersection,gender_no_age,ibm,3,16,56,104,7,0.6557377049180327
standard,Statistic_intersection,gender_no_age,ibm,5,16,70,90,7,0.5792349726775956
standard,Statistic_intersection,gender_no_age,ibm,13,21,105,55,2,0.41530054644808745
standard,Statistic_intersection,gender_no_age,oracle,1,2,0,166,15,0.9180327868852459
standard,Statistic_intersection,gender_no_age,oracle,3,5,12,154,12,0.8688524590163934
standard,Statistic_intersection,gender_no_age,oracle,5,7,32,134,10,0.7704918032786885
standard,Statistic_intersection,gender_no_age,oracle,13,12,75,91,5,0.5628415300546448
standard,Statistic_intersection,gender_no_age,facebook,1,3,19,149,12,0.8306010928961749
standard,Statistic_intersection,gender_no_age,facebook,3,9,58,110,6,0.6502732240437158
standard,Statistic_intersection,gender_no_age,facebook,5,9,84,84,6,0.5081967213114754
standard,Statistic_intersection,gender_no_age,facebook,13,10,118,50,5,0.32786885245901637
standard,Statistic_intersection,gender_no_age,amazon,1,3,16,150,14,0.8360655737704918
standard,Statistic_intersection,gender_no_age,amazon,3,7,41,125,10,0.7213114754098361
standard,Statistic_intersection,gender_no_age,amazon,5,12,54,112,5,0.6775956284153005
standard,Statistic_intersection,gender_no_age,amazon,13,15,97,69,2,0.45901639344262296
standard,Statistic_intersection,gender_no_age,google,1,6,13,147,17,0.8360655737704918
standard,Statistic_intersection,gender_no_age,google,3,12,36,124,11,0.7431693989071039
standard,Statistic_intersection,gender_no_age,google,5,15,73,87,8,0.5573770491803278
standard,Statistic_intersection,gender_no_age,google,13,20,127,33,3,0.2896174863387978
standard,Statistic_intersection,gender_no_age,nvidia,1,0,0,180,3,0.9836065573770492
standard,Statistic_intersection,gender_no_age,nvidia,3,1,0,180,2,0.9890710382513661
standard,Statistic_intersection,gender_no_age,nvidia,5,1,0,180,2,0.9890710382513661
standard,Statistic_intersection,gender_no_age,nvidia,13,1,3,177,2,0.9726775956284153
standard,Statistic_intersection,gender_no_age,salesforce,1,1,8,167,7,0.9180327868852459
standard,Statistic_intersection,gender_no_age,salesforce,3,3,22,153,5,0.8524590163934426
standard,Statistic_intersection,gender_no_age,salesforce,5,4,30,145,4,0.8142076502732241
standard,Statistic_intersection,gender_no_age,salesforce,13,4,36,139,4,0.7814207650273224
standard,Statistic_intersection,gender_no_age,uber,1,1,1,175,6,0.9617486338797814
standard,Statistic_intersection,gender_no_age,uber,3,3,2,174,4,0.9672131147540983
standard,Statistic_intersection,gender_no_age,uber,5,3,5,171,4,0.9508196721311475
standard,Statistic_intersection,gender_no_age,uber,13,4,12,164,3,0.9180327868852459
standard,Statistic_intersection,gender_no_age,twitter,1,1,14,158,10,0.8688524590163934
standard,Statistic_intersection,gender_no_age,twitter,3,1,17,155,10,0.8524590163934426
standard,Statistic_intersection,gender_no_age,twitter,5,2,32,140,9,0.7759562841530054
standard,Statistic_intersection,gender_no_age,twitter,13,6,79,93,5,0.5409836065573771
standard,Statistic_intersection,gender_no_age,apple,1,3,9,156,15,0.8688524590163934
standard,Statistic_intersection,gender_no_age,apple,3,4,21,144,14,0.8087431693989071
standard,Statistic_intersection,gender_no_age,apple,5,6,30,135,12,0.7704918032786885
standard,Statistic_intersection,gender_no_age,apple,13,8,75,90,10,0.5355191256830601
standard,Statistic_intersection,gender_no_age,tesla,1,1,0,180,2,0.9890710382513661
standard,Statistic_intersection,gender_no_age,tesla,3,1,0,180,2,0.9890710382513661
standard,Statistic_intersection,gender_no_age,tesla,5,2,1,179,1,0.9890710382513661
standard,Statistic_intersection,gender_no_age,tesla,13,2,11,169,1,0.9344262295081968
