Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_list_frequency,gender_no_age,nvidia,1,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,gender_no_age,nvidia,3,0,1,179,3,0.9781420765027322
standard,Statistic_list_frequency,gender_no_age,nvidia,5,0,1,179,3,0.9781420765027322
standard,Statistic_list_frequency,gender_no_age,nvidia,13,1,15,165,2,0.907103825136612
standard,Statistic_list_frequency,gender_no_age,apple,1,4,9,156,14,0.8743169398907104
standard,Statistic_list_frequency,gender_no_age,apple,3,7,33,132,11,0.7595628415300546
standard,Statistic_list_frequency,gender_no_age,apple,5,7,44,121,11,0.6994535519125683
standard,Statistic_list_frequency,gender_no_age,apple,13,10,69,96,8,0.5792349726775956
standard,Statistic_list_frequency,gender_no_age,uber,1,3,4,172,4,0.9562841530054644
standard,Statistic_list_frequency,gender_no_age,uber,3,5,11,165,2,0.9289617486338798
standard,Statistic_list_frequency,gender_no_age,uber,5,6,23,153,1,0.8688524590163934
standard,Statistic_list_frequency,gender_no_age,uber,13,6,66,110,1,0.6338797814207651
standard,Statistic_list_frequency,gender_no_age,facebook,1,4,11,157,11,0.8797814207650273
standard,Statistic_list_frequency,gender_no_age,facebook,3,5,33,135,10,0.7650273224043715
standard,Statistic_list_frequency,gender_no_age,facebook,5,8,49,119,7,0.6939890710382514
standard,Statistic_list_frequency,gender_no_age,facebook,13,10,97,71,5,0.4426229508196721
standard,Statistic_list_frequency,gender_no_age,oracle,1,0,5,161,17,0.8797814207650273
standard,Statistic_list_frequency,gender_no_age,oracle,3,2,15,151,15,0.8360655737704918
standard,Statistic_list_frequency,gender_no_age,oracle,5,3,25,141,14,0.7868852459016393
standard,Statistic_list_frequency,gender_no_age,oracle,13,12,75,91,5,0.5628415300546448
standard,Statistic_list_frequency,gender_no_age,google,1,7,16,144,16,0.825136612021858
standard,Statistic_list_frequency,gender_no_age,google,3,10,36,124,13,0.73224043715847
standard,Statistic_list_frequency,gender_no_age,google,5,15,59,101,8,0.6338797814207651
standard,Statistic_list_frequency,gender_no_age,google,13,19,124,36,4,0.3005464480874317
standard,Statistic_list_frequency,gender_no_age,twitter,1,2,24,148,9,0.819672131147541
standard,Statistic_list_frequency,gender_no_age,twitter,3,3,48,124,8,0.6939890710382514
standard,Statistic_list_frequency,gender_no_age,twitter,5,3,75,97,8,0.546448087431694
standard,Statistic_list_frequency,gender_no_age,twitter,13,6,120,52,5,0.31693989071038253
standard,Statistic_list_frequency,gender_no_age,amazon,1,5,25,141,12,0.7978142076502732
standard,Statistic_list_frequency,gender_no_age,amazon,3,9,47,119,8,0.6994535519125683
standard,Statistic_list_frequency,gender_no_age,amazon,5,11,68,98,6,0.5956284153005464
standard,Statistic_list_frequency,gender_no_age,amazon,13,14,123,43,3,0.3114754098360656
standard,Statistic_list_frequency,gender_no_age,ibm,1,8,20,140,15,0.8087431693989071
standard,Statistic_list_frequency,gender_no_age,ibm,3,17,53,107,6,0.6775956284153005
standard,Statistic_list_frequency,gender_no_age,ibm,5,18,93,67,5,0.4644808743169399
standard,Statistic_list_frequency,gender_no_age,ibm,13,22,143,17,1,0.21311475409836064
standard,Statistic_list_frequency,gender_no_age,tesla,1,0,6,174,3,0.9508196721311475
standard,Statistic_list_frequency,gender_no_age,tesla,3,1,19,161,2,0.8852459016393442
standard,Statistic_list_frequency,gender_no_age,tesla,5,1,31,149,2,0.819672131147541
standard,Statistic_list_frequency,gender_no_age,tesla,13,1,57,123,2,0.6775956284153005
standard,Statistic_list_frequency,gender_no_age,microsoft,1,2,5,158,18,0.8743169398907104
standard,Statistic_list_frequency,gender_no_age,microsoft,3,4,17,146,16,0.819672131147541
standard,Statistic_list_frequency,gender_no_age,microsoft,5,5,27,136,15,0.7704918032786885
standard,Statistic_list_frequency,gender_no_age,microsoft,13,13,81,82,7,0.5191256830601093
standard,Statistic_list_frequency,gender_no_age,salesforce,1,0,9,166,8,0.907103825136612
standard,Statistic_list_frequency,gender_no_age,salesforce,3,2,15,160,6,0.8852459016393442
standard,Statistic_list_frequency,gender_no_age,salesforce,5,2,26,149,6,0.825136612021858
standard,Statistic_list_frequency,gender_no_age,salesforce,13,5,75,100,3,0.5737704918032787
standard,Statistic_list_frequency,gender_no_age,adobe,1,3,11,154,15,0.8579234972677595
standard,Statistic_list_frequency,gender_no_age,adobe,3,5,23,142,13,0.8032786885245902
standard,Statistic_list_frequency,gender_no_age,adobe,5,6,37,128,12,0.73224043715847
standard,Statistic_list_frequency,gender_no_age,adobe,13,8,95,70,10,0.4262295081967213
