Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_intersection,no_age_no_gender,uber,1,3,45,131,4,0.73224043715847
multiclustering,Statistic_intersection,no_age_no_gender,uber,3,6,102,74,1,0.4371584699453552
multiclustering,Statistic_intersection,no_age_no_gender,uber,5,7,144,32,0,0.21311475409836064
multiclustering,Statistic_intersection,no_age_no_gender,uber,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_intersection,no_age_no_gender,apple,1,0,0,165,18,0.9016393442622951
multiclustering,Statistic_intersection,no_age_no_gender,apple,3,1,2,163,17,0.8961748633879781
multiclustering,Statistic_intersection,no_age_no_gender,apple,5,2,6,159,16,0.8797814207650273
multiclustering,Statistic_intersection,no_age_no_gender,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,no_age_no_gender,tesla,1,0,1,179,3,0.9781420765027322
multiclustering,Statistic_intersection,no_age_no_gender,tesla,3,1,9,171,2,0.9398907103825137
multiclustering,Statistic_intersection,no_age_no_gender,tesla,5,1,19,161,2,0.8852459016393442
multiclustering,Statistic_intersection,no_age_no_gender,tesla,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,no_age_no_gender,twitter,1,7,11,161,4,0.9180327868852459
multiclustering,Statistic_intersection,no_age_no_gender,twitter,3,8,54,118,3,0.6885245901639344
multiclustering,Statistic_intersection,no_age_no_gender,twitter,5,10,105,67,1,0.4207650273224044
multiclustering,Statistic_intersection,no_age_no_gender,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_intersection,no_age_no_gender,oracle,1,0,5,161,17,0.8797814207650273
multiclustering,Statistic_intersection,no_age_no_gender,oracle,3,4,32,134,13,0.7540983606557377
multiclustering,Statistic_intersection,no_age_no_gender,oracle,5,9,67,99,8,0.5901639344262295
multiclustering,Statistic_intersection,no_age_no_gender,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,no_age_no_gender,facebook,1,3,24,144,12,0.8032786885245902
multiclustering,Statistic_intersection,no_age_no_gender,facebook,3,10,96,72,5,0.44808743169398907
multiclustering,Statistic_intersection,no_age_no_gender,facebook,5,13,144,24,2,0.20218579234972678
multiclustering,Statistic_intersection,no_age_no_gender,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_intersection,no_age_no_gender,salesforce,1,4,40,135,4,0.7595628415300546
multiclustering,Statistic_intersection,no_age_no_gender,salesforce,3,6,74,101,2,0.5846994535519126
multiclustering,Statistic_intersection,no_age_no_gender,salesforce,5,6,107,68,2,0.40437158469945356
multiclustering,Statistic_intersection,no_age_no_gender,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_intersection,no_age_no_gender,ibm,1,1,4,156,22,0.8579234972677595
multiclustering,Statistic_intersection,no_age_no_gender,ibm,3,1,10,150,22,0.825136612021858
multiclustering,Statistic_intersection,no_age_no_gender,ibm,5,1,13,147,22,0.8087431693989071
multiclustering,Statistic_intersection,no_age_no_gender,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,no_age_no_gender,adobe,1,1,16,149,17,0.819672131147541
multiclustering,Statistic_intersection,no_age_no_gender,adobe,3,6,40,125,12,0.7158469945355191
multiclustering,Statistic_intersection,no_age_no_gender,adobe,5,11,60,105,7,0.6338797814207651
multiclustering,Statistic_intersection,no_age_no_gender,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,no_age_no_gender,amazon,1,0,6,160,17,0.8743169398907104
multiclustering,Statistic_intersection,no_age_no_gender,amazon,3,0,16,150,17,0.819672131147541
multiclustering,Statistic_intersection,no_age_no_gender,amazon,5,1,21,145,16,0.7978142076502732
multiclustering,Statistic_intersection,no_age_no_gender,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,no_age_no_gender,nvidia,1,2,0,180,1,0.994535519125683
multiclustering,Statistic_intersection,no_age_no_gender,nvidia,3,2,6,174,1,0.9617486338797814
multiclustering,Statistic_intersection,no_age_no_gender,nvidia,5,2,9,171,1,0.9453551912568307
multiclustering,Statistic_intersection,no_age_no_gender,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,no_age_no_gender,microsoft,1,2,1,162,18,0.8961748633879781
multiclustering,Statistic_intersection,no_age_no_gender,microsoft,3,6,21,142,14,0.8087431693989071
multiclustering,Statistic_intersection,no_age_no_gender,microsoft,5,11,64,99,9,0.6010928961748634
multiclustering,Statistic_intersection,no_age_no_gender,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_intersection,no_age_no_gender,google,1,1,6,154,22,0.8469945355191257
multiclustering,Statistic_intersection,no_age_no_gender,google,3,4,32,128,19,0.7213114754098361
multiclustering,Statistic_intersection,no_age_no_gender,google,5,13,69,91,10,0.5683060109289617
multiclustering,Statistic_intersection,no_age_no_gender,google,13,23,160,0,0,0.12568306010928962
