Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_list_frequency,no_age_no_gender,ibm,1,3,12,148,20,0.825136612021858
multiclustering,Statistic_list_frequency,no_age_no_gender,ibm,3,8,63,97,15,0.5737704918032787
multiclustering,Statistic_list_frequency,no_age_no_gender,ibm,5,12,97,63,11,0.4098360655737705
multiclustering,Statistic_list_frequency,no_age_no_gender,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,no_age_no_gender,twitter,1,2,4,168,9,0.9289617486338798
multiclustering,Statistic_list_frequency,no_age_no_gender,twitter,3,4,26,146,7,0.819672131147541
multiclustering,Statistic_list_frequency,no_age_no_gender,twitter,5,9,61,111,2,0.6557377049180327
multiclustering,Statistic_list_frequency,no_age_no_gender,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_list_frequency,no_age_no_gender,salesforce,1,0,1,174,8,0.9508196721311475
multiclustering,Statistic_list_frequency,no_age_no_gender,salesforce,3,1,17,158,7,0.8688524590163934
multiclustering,Statistic_list_frequency,no_age_no_gender,salesforce,5,1,40,135,7,0.7431693989071039
multiclustering,Statistic_list_frequency,no_age_no_gender,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_list_frequency,no_age_no_gender,google,1,4,4,156,19,0.8743169398907104
multiclustering,Statistic_list_frequency,no_age_no_gender,google,3,5,36,124,18,0.7049180327868853
multiclustering,Statistic_list_frequency,no_age_no_gender,google,5,15,73,87,8,0.5573770491803278
multiclustering,Statistic_list_frequency,no_age_no_gender,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,no_age_no_gender,apple,1,0,18,147,18,0.8032786885245902
multiclustering,Statistic_list_frequency,no_age_no_gender,apple,3,4,68,97,14,0.5519125683060109
multiclustering,Statistic_list_frequency,no_age_no_gender,apple,5,6,109,56,12,0.33879781420765026
multiclustering,Statistic_list_frequency,no_age_no_gender,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,no_age_no_gender,microsoft,1,0,2,161,20,0.8797814207650273
multiclustering,Statistic_list_frequency,no_age_no_gender,microsoft,3,2,12,151,18,0.8360655737704918
multiclustering,Statistic_list_frequency,no_age_no_gender,microsoft,5,4,23,140,16,0.7868852459016393
multiclustering,Statistic_list_frequency,no_age_no_gender,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_list_frequency,no_age_no_gender,adobe,1,0,1,164,18,0.8961748633879781
multiclustering,Statistic_list_frequency,no_age_no_gender,adobe,3,2,8,157,16,0.8688524590163934
multiclustering,Statistic_list_frequency,no_age_no_gender,adobe,5,7,29,136,11,0.7814207650273224
multiclustering,Statistic_list_frequency,no_age_no_gender,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,no_age_no_gender,amazon,1,1,7,159,16,0.8743169398907104
multiclustering,Statistic_list_frequency,no_age_no_gender,amazon,3,6,22,144,11,0.819672131147541
multiclustering,Statistic_list_frequency,no_age_no_gender,amazon,5,9,43,123,8,0.7213114754098361
multiclustering,Statistic_list_frequency,no_age_no_gender,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,no_age_no_gender,uber,1,2,51,125,5,0.6939890710382514
multiclustering,Statistic_list_frequency,no_age_no_gender,uber,3,2,91,85,5,0.47540983606557374
multiclustering,Statistic_list_frequency,no_age_no_gender,uber,5,3,109,67,4,0.3825136612021858
multiclustering,Statistic_list_frequency,no_age_no_gender,uber,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_list_frequency,no_age_no_gender,tesla,1,0,5,175,3,0.9562841530054644
multiclustering,Statistic_list_frequency,no_age_no_gender,tesla,3,1,20,160,2,0.8797814207650273
multiclustering,Statistic_list_frequency,no_age_no_gender,tesla,5,1,46,134,2,0.7377049180327869
multiclustering,Statistic_list_frequency,no_age_no_gender,tesla,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,no_age_no_gender,facebook,1,0,6,162,15,0.8852459016393442
multiclustering,Statistic_list_frequency,no_age_no_gender,facebook,3,3,20,148,12,0.825136612021858
multiclustering,Statistic_list_frequency,no_age_no_gender,facebook,5,7,49,119,8,0.6885245901639344
multiclustering,Statistic_list_frequency,no_age_no_gender,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_list_frequency,no_age_no_gender,oracle,1,1,17,149,16,0.819672131147541
multiclustering,Statistic_list_frequency,no_age_no_gender,oracle,3,3,38,128,14,0.7158469945355191
multiclustering,Statistic_list_frequency,no_age_no_gender,oracle,5,8,54,112,9,0.6557377049180327
multiclustering,Statistic_list_frequency,no_age_no_gender,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,no_age_no_gender,nvidia,1,1,41,139,2,0.7650273224043715
multiclustering,Statistic_list_frequency,no_age_no_gender,nvidia,3,2,85,95,1,0.5300546448087432
multiclustering,Statistic_list_frequency,no_age_no_gender,nvidia,5,2,98,82,1,0.45901639344262296
multiclustering,Statistic_list_frequency,no_age_no_gender,nvidia,13,3,180,0,0,0.01639344262295082
