Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_intersection,no_age_no_gender,salesforce,1,2,7,168,6,0.9289617486338798
standard,Statistic_intersection,no_age_no_gender,salesforce,3,3,13,162,5,0.9016393442622951
standard,Statistic_intersection,no_age_no_gender,salesforce,5,4,20,155,4,0.8688524590163934
standard,Statistic_intersection,no_age_no_gender,salesforce,13,6,49,126,2,0.7213114754098361
standard,Statistic_intersection,no_age_no_gender,facebook,1,3,7,161,12,0.8961748633879781
standard,Statistic_intersection,no_age_no_gender,facebook,3,6,19,149,9,0.8469945355191257
standard,Statistic_intersection,no_age_no_gender,facebook,5,9,36,132,6,0.7704918032786885
standard,Statistic_intersection,no_age_no_gender,facebook,13,14,89,79,1,0.5081967213114754
standard,Statistic_intersection,no_age_no_gender,apple,1,1,12,153,17,0.8415300546448088
standard,Statistic_intersection,no_age_no_gender,apple,3,4,28,137,14,0.7704918032786885
standard,Statistic_intersection,no_age_no_gender,apple,5,6,47,118,12,0.6775956284153005
standard,Statistic_intersection,no_age_no_gender,apple,13,16,107,58,2,0.40437158469945356
standard,Statistic_intersection,no_age_no_gender,tesla,1,2,6,174,1,0.9617486338797814
standard,Statistic_intersection,no_age_no_gender,tesla,3,2,12,168,1,0.9289617486338798
standard,Statistic_intersection,no_age_no_gender,tesla,5,2,17,163,1,0.9016393442622951
standard,Statistic_intersection,no_age_no_gender,tesla,13,2,56,124,1,0.6885245901639344
standard,Statistic_intersection,no_age_no_gender,amazon,1,4,15,151,13,0.8469945355191257
standard,Statistic_intersection,no_age_no_gender,amazon,3,9,41,125,8,0.73224043715847
standard,Statistic_intersection,no_age_no_gender,amazon,5,13,74,92,4,0.5737704918032787
standard,Statistic_intersection,no_age_no_gender,amazon,13,16,131,35,1,0.2786885245901639
standard,Statistic_intersection,no_age_no_gender,nvidia,1,1,2,178,2,0.9781420765027322
standard,Statistic_intersection,no_age_no_gender,nvidia,3,1,10,170,2,0.9344262295081968
standard,Statistic_intersection,no_age_no_gender,nvidia,5,1,33,147,2,0.8087431693989071
standard,Statistic_intersection,no_age_no_gender,nvidia,13,1,53,127,2,0.6994535519125683
standard,Statistic_intersection,no_age_no_gender,oracle,1,4,21,145,13,0.8142076502732241
standard,Statistic_intersection,no_age_no_gender,oracle,3,9,51,115,8,0.6775956284153005
standard,Statistic_intersection,no_age_no_gender,oracle,5,10,65,101,7,0.6065573770491803
standard,Statistic_intersection,no_age_no_gender,oracle,13,16,93,73,1,0.48633879781420764
standard,Statistic_intersection,no_age_no_gender,uber,1,1,1,175,6,0.9617486338797814
standard,Statistic_intersection,no_age_no_gender,uber,3,3,7,169,4,0.9398907103825137
standard,Statistic_intersection,no_age_no_gender,uber,5,3,19,157,4,0.8743169398907104
standard,Statistic_intersection,no_age_no_gender,uber,13,4,68,108,3,0.6120218579234973
standard,Statistic_intersection,no_age_no_gender,microsoft,1,2,20,143,18,0.7923497267759563
standard,Statistic_intersection,no_age_no_gender,microsoft,3,8,55,108,12,0.6338797814207651
standard,Statistic_intersection,no_age_no_gender,microsoft,5,10,74,89,10,0.5409836065573771
standard,Statistic_intersection,no_age_no_gender,microsoft,13,10,102,61,10,0.3879781420765027
standard,Statistic_intersection,no_age_no_gender,ibm,1,12,6,154,11,0.907103825136612
standard,Statistic_intersection,no_age_no_gender,ibm,3,16,31,129,7,0.7923497267759563
standard,Statistic_intersection,no_age_no_gender,ibm,5,16,43,117,7,0.726775956284153
standard,Statistic_intersection,no_age_no_gender,ibm,13,18,80,80,5,0.5355191256830601
standard,Statistic_intersection,no_age_no_gender,google,1,8,12,148,15,0.8524590163934426
standard,Statistic_intersection,no_age_no_gender,google,3,10,36,124,13,0.73224043715847
standard,Statistic_intersection,no_age_no_gender,google,5,15,57,103,8,0.644808743169399
standard,Statistic_intersection,no_age_no_gender,google,13,20,121,39,3,0.3224043715846995
standard,Statistic_intersection,no_age_no_gender,twitter,1,4,18,154,7,0.8633879781420765
standard,Statistic_intersection,no_age_no_gender,twitter,3,4,42,130,7,0.73224043715847
standard,Statistic_intersection,no_age_no_gender,twitter,5,5,57,115,6,0.6557377049180327
standard,Statistic_intersection,no_age_no_gender,twitter,13,8,75,97,3,0.5737704918032787
standard,Statistic_intersection,no_age_no_gender,adobe,1,2,10,155,16,0.8579234972677595
standard,Statistic_intersection,no_age_no_gender,adobe,3,3,20,145,15,0.8087431693989071
standard,Statistic_intersection,no_age_no_gender,adobe,5,8,27,138,10,0.7978142076502732
standard,Statistic_intersection,no_age_no_gender,adobe,13,9,66,99,9,0.5901639344262295
