Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_list_frequency,no_age_no_gender,nvidia,1,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,no_age_no_gender,nvidia,3,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,no_age_no_gender,nvidia,5,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,no_age_no_gender,nvidia,13,0,7,173,3,0.9453551912568307
standard,Statistic_list_frequency,no_age_no_gender,apple,1,5,13,152,13,0.8579234972677595
standard,Statistic_list_frequency,no_age_no_gender,apple,3,9,33,132,9,0.7704918032786885
standard,Statistic_list_frequency,no_age_no_gender,apple,5,11,48,117,7,0.6994535519125683
standard,Statistic_list_frequency,no_age_no_gender,apple,13,15,92,73,3,0.4808743169398907
standard,Statistic_list_frequency,no_age_no_gender,twitter,1,3,6,166,8,0.9234972677595629
standard,Statistic_list_frequency,no_age_no_gender,twitter,3,6,20,152,5,0.8633879781420765
standard,Statistic_list_frequency,no_age_no_gender,twitter,5,6,35,137,5,0.7814207650273224
standard,Statistic_list_frequency,no_age_no_gender,twitter,13,9,83,89,2,0.5355191256830601
standard,Statistic_list_frequency,no_age_no_gender,microsoft,1,2,17,146,18,0.8087431693989071
standard,Statistic_list_frequency,no_age_no_gender,microsoft,3,8,40,123,12,0.7158469945355191
standard,Statistic_list_frequency,no_age_no_gender,microsoft,5,9,59,104,11,0.6174863387978142
standard,Statistic_list_frequency,no_age_no_gender,microsoft,13,17,103,60,3,0.4207650273224044
standard,Statistic_list_frequency,no_age_no_gender,ibm,1,12,32,128,11,0.7650273224043715
standard,Statistic_list_frequency,no_age_no_gender,ibm,3,15,62,98,8,0.6174863387978142
standard,Statistic_list_frequency,no_age_no_gender,ibm,5,18,88,72,5,0.4918032786885246
standard,Statistic_list_frequency,no_age_no_gender,ibm,13,21,127,33,2,0.29508196721311475
standard,Statistic_list_frequency,no_age_no_gender,uber,1,3,8,168,4,0.9344262295081968
standard,Statistic_list_frequency,no_age_no_gender,uber,3,3,21,155,4,0.8633879781420765
standard,Statistic_list_frequency,no_age_no_gender,uber,5,3,30,146,4,0.8142076502732241
standard,Statistic_list_frequency,no_age_no_gender,uber,13,3,49,127,4,0.7103825136612022
standard,Statistic_list_frequency,no_age_no_gender,salesforce,1,1,2,173,7,0.9508196721311475
standard,Statistic_list_frequency,no_age_no_gender,salesforce,3,3,11,164,5,0.912568306010929
standard,Statistic_list_frequency,no_age_no_gender,salesforce,5,3,22,153,5,0.8524590163934426
standard,Statistic_list_frequency,no_age_no_gender,salesforce,13,5,58,117,3,0.6666666666666666
standard,Statistic_list_frequency,no_age_no_gender,google,1,10,14,146,13,0.8524590163934426
standard,Statistic_list_frequency,no_age_no_gender,google,3,12,48,112,11,0.6775956284153005
standard,Statistic_list_frequency,no_age_no_gender,google,5,15,78,82,8,0.5300546448087432
standard,Statistic_list_frequency,no_age_no_gender,google,13,20,116,44,3,0.34972677595628415
standard,Statistic_list_frequency,no_age_no_gender,tesla,1,1,1,179,2,0.9836065573770492
standard,Statistic_list_frequency,no_age_no_gender,tesla,3,1,5,175,2,0.9617486338797814
standard,Statistic_list_frequency,no_age_no_gender,tesla,5,1,11,169,2,0.9289617486338798
standard,Statistic_list_frequency,no_age_no_gender,tesla,13,1,48,132,2,0.726775956284153
standard,Statistic_list_frequency,no_age_no_gender,adobe,1,2,8,157,16,0.8688524590163934
standard,Statistic_list_frequency,no_age_no_gender,adobe,3,4,24,141,14,0.7923497267759563
standard,Statistic_list_frequency,no_age_no_gender,adobe,5,6,36,129,12,0.7377049180327869
standard,Statistic_list_frequency,no_age_no_gender,adobe,13,12,90,75,6,0.47540983606557374
standard,Statistic_list_frequency,no_age_no_gender,oracle,1,4,11,155,13,0.8688524590163934
standard,Statistic_list_frequency,no_age_no_gender,oracle,3,5,39,127,12,0.7213114754098361
standard,Statistic_list_frequency,no_age_no_gender,oracle,5,6,53,113,11,0.6502732240437158
standard,Statistic_list_frequency,no_age_no_gender,oracle,13,13,110,56,4,0.3770491803278688
standard,Statistic_list_frequency,no_age_no_gender,facebook,1,1,18,150,14,0.825136612021858
standard,Statistic_list_frequency,no_age_no_gender,facebook,3,4,35,133,11,0.7486338797814208
standard,Statistic_list_frequency,no_age_no_gender,facebook,5,6,55,113,9,0.6502732240437158
standard,Statistic_list_frequency,no_age_no_gender,facebook,13,11,115,53,4,0.34972677595628415
standard,Statistic_list_frequency,no_age_no_gender,amazon,1,1,8,158,16,0.8688524590163934
standard,Statistic_list_frequency,no_age_no_gender,amazon,3,5,32,134,12,0.7595628415300546
standard,Statistic_list_frequency,no_age_no_gender,amazon,5,6,59,107,11,0.6174863387978142
standard,Statistic_list_frequency,no_age_no_gender,amazon,13,16,112,54,1,0.3825136612021858
