Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_list_frequency,with_gender_and_age,microsoft,1,2,6,157,18,0.8688524590163934
multiclustering,Statistic_list_frequency,with_gender_and_age,microsoft,3,4,31,132,16,0.7431693989071039
multiclustering,Statistic_list_frequency,with_gender_and_age,microsoft,5,9,61,102,11,0.6065573770491803
multiclustering,Statistic_list_frequency,with_gender_and_age,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_list_frequency,with_gender_and_age,uber-com,1,3,39,137,4,0.7650273224043715
multiclustering,Statistic_list_frequency,with_gender_and_age,uber-com,3,5,78,98,2,0.5628415300546448
multiclustering,Statistic_list_frequency,with_gender_and_age,uber-com,5,6,102,74,1,0.4371584699453552
multiclustering,Statistic_list_frequency,with_gender_and_age,uber-com,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_list_frequency,with_gender_and_age,facebook,1,0,3,165,15,0.9016393442622951
multiclustering,Statistic_list_frequency,with_gender_and_age,facebook,3,2,20,148,13,0.819672131147541
multiclustering,Statistic_list_frequency,with_gender_and_age,facebook,5,5,48,120,10,0.6830601092896175
multiclustering,Statistic_list_frequency,with_gender_and_age,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_list_frequency,with_gender_and_age,tesla-motors,1,1,3,177,2,0.9726775956284153
multiclustering,Statistic_list_frequency,with_gender_and_age,tesla-motors,3,2,11,169,1,0.9344262295081968
multiclustering,Statistic_list_frequency,with_gender_and_age,tesla-motors,5,2,36,144,1,0.7978142076502732
multiclustering,Statistic_list_frequency,with_gender_and_age,tesla-motors,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,with_gender_and_age,oracle,1,0,0,166,17,0.907103825136612
multiclustering,Statistic_list_frequency,with_gender_and_age,oracle,3,1,2,164,16,0.9016393442622951
multiclustering,Statistic_list_frequency,with_gender_and_age,oracle,5,2,11,155,15,0.8579234972677595
multiclustering,Statistic_list_frequency,with_gender_and_age,oracle,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,with_gender_and_age,twitter,1,2,19,153,9,0.8469945355191257
multiclustering,Statistic_list_frequency,with_gender_and_age,twitter,3,3,29,143,8,0.7978142076502732
multiclustering,Statistic_list_frequency,with_gender_and_age,twitter,5,4,33,139,7,0.7814207650273224
multiclustering,Statistic_list_frequency,with_gender_and_age,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_list_frequency,with_gender_and_age,apple,1,10,45,120,8,0.7103825136612022
multiclustering,Statistic_list_frequency,with_gender_and_age,apple,3,17,116,49,1,0.36065573770491804
multiclustering,Statistic_list_frequency,with_gender_and_age,apple,5,18,142,23,0,0.22404371584699453
multiclustering,Statistic_list_frequency,with_gender_and_age,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,with_gender_and_age,salesforce,1,0,4,171,8,0.9344262295081968
multiclustering,Statistic_list_frequency,with_gender_and_age,salesforce,3,1,19,156,7,0.8579234972677595
multiclustering,Statistic_list_frequency,with_gender_and_age,salesforce,5,3,34,141,5,0.7868852459016393
multiclustering,Statistic_list_frequency,with_gender_and_age,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_list_frequency,with_gender_and_age,ibm,1,9,9,151,14,0.8743169398907104
multiclustering,Statistic_list_frequency,with_gender_and_age,ibm,3,16,59,101,7,0.639344262295082
multiclustering,Statistic_list_frequency,with_gender_and_age,ibm,5,21,106,54,2,0.4098360655737705
multiclustering,Statistic_list_frequency,with_gender_and_age,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_list_frequency,with_gender_and_age,amazon,1,0,6,160,17,0.8743169398907104
multiclustering,Statistic_list_frequency,with_gender_and_age,amazon,3,3,31,135,14,0.7540983606557377
multiclustering,Statistic_list_frequency,with_gender_and_age,amazon,5,6,73,93,11,0.5409836065573771
multiclustering,Statistic_list_frequency,with_gender_and_age,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_list_frequency,with_gender_and_age,adobe,1,2,1,164,16,0.907103825136612
multiclustering,Statistic_list_frequency,with_gender_and_age,adobe,3,8,26,139,10,0.8032786885245902
multiclustering,Statistic_list_frequency,with_gender_and_age,adobe,5,12,74,91,6,0.5628415300546448
multiclustering,Statistic_list_frequency,with_gender_and_age,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_list_frequency,with_gender_and_age,nvidia,1,0,0,180,3,0.9836065573770492
multiclustering,Statistic_list_frequency,with_gender_and_age,nvidia,3,0,0,180,3,0.9836065573770492
multiclustering,Statistic_list_frequency,with_gender_and_age,nvidia,5,0,0,180,3,0.9836065573770492
multiclustering,Statistic_list_frequency,with_gender_and_age,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_list_frequency,with_gender_and_age,google,1,3,16,144,20,0.8032786885245902
multiclustering,Statistic_list_frequency,with_gender_and_age,google,3,11,54,106,12,0.639344262295082
multiclustering,Statistic_list_frequency,with_gender_and_age,google,5,14,93,67,9,0.4426229508196721
multiclustering,Statistic_list_frequency,with_gender_and_age,google,13,23,160,0,0,0.12568306010928962
