Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_intersection,with_gender_and_age,ibm,1,3,12,148,20,0.825136612021858
standard,Statistic_intersection,with_gender_and_age,ibm,3,9,30,130,14,0.7595628415300546
standard,Statistic_intersection,with_gender_and_age,ibm,5,11,41,119,12,0.7103825136612022
standard,Statistic_intersection,with_gender_and_age,ibm,13,16,100,60,7,0.41530054644808745
standard,Statistic_intersection,with_gender_and_age,apple,1,2,9,156,16,0.8633879781420765
standard,Statistic_intersection,with_gender_and_age,apple,3,10,30,135,8,0.7923497267759563
standard,Statistic_intersection,with_gender_and_age,apple,5,14,54,111,4,0.6830601092896175
standard,Statistic_intersection,with_gender_and_age,apple,13,17,109,56,1,0.3989071038251366
standard,Statistic_intersection,with_gender_and_age,adobe,1,8,12,153,10,0.8797814207650273
standard,Statistic_intersection,with_gender_and_age,adobe,3,11,35,130,7,0.7704918032786885
standard,Statistic_intersection,with_gender_and_age,adobe,5,12,46,119,6,0.7158469945355191
standard,Statistic_intersection,with_gender_and_age,adobe,13,14,72,93,4,0.5846994535519126
standard,Statistic_intersection,with_gender_and_age,twitter,1,4,13,159,7,0.8907103825136612
standard,Statistic_intersection,with_gender_and_age,twitter,3,5,33,139,6,0.7868852459016393
standard,Statistic_intersection,with_gender_and_age,twitter,5,6,44,128,5,0.73224043715847
standard,Statistic_intersection,with_gender_and_age,twitter,13,9,83,89,2,0.5355191256830601
standard,Statistic_intersection,with_gender_and_age,tesla-motors,1,2,2,178,1,0.9836065573770492
standard,Statistic_intersection,with_gender_and_age,tesla-motors,3,3,7,173,0,0.9617486338797814
standard,Statistic_intersection,with_gender_and_age,tesla-motors,5,3,17,163,0,0.907103825136612
standard,Statistic_intersection,with_gender_and_age,tesla-motors,13,3,45,135,0,0.7540983606557377
standard,Statistic_intersection,with_gender_and_age,uber-com,1,1,9,167,6,0.9180327868852459
standard,Statistic_intersection,with_gender_and_age,uber-com,3,1,19,157,6,0.8633879781420765
standard,Statistic_intersection,with_gender_and_age,uber-com,5,2,23,153,5,0.8469945355191257
standard,Statistic_intersection,with_gender_and_age,uber-com,13,3,43,133,4,0.7431693989071039
standard,Statistic_intersection,with_gender_and_age,amazon,1,3,18,148,14,0.825136612021858
standard,Statistic_intersection,with_gender_and_age,amazon,3,6,35,131,11,0.7486338797814208
standard,Statistic_intersection,with_gender_and_age,amazon,5,10,53,113,7,0.6721311475409836
standard,Statistic_intersection,with_gender_and_age,amazon,13,14,101,65,3,0.43169398907103823
standard,Statistic_intersection,with_gender_and_age,facebook,1,3,11,157,12,0.8743169398907104
standard,Statistic_intersection,with_gender_and_age,facebook,3,6,33,135,9,0.7704918032786885
standard,Statistic_intersection,with_gender_and_age,facebook,5,9,55,113,6,0.6666666666666666
standard,Statistic_intersection,with_gender_and_age,facebook,13,13,121,47,2,0.32786885245901637
standard,Statistic_intersection,with_gender_and_age,google,1,5,20,140,18,0.7923497267759563
standard,Statistic_intersection,with_gender_and_age,google,3,13,53,107,10,0.6557377049180327
standard,Statistic_intersection,with_gender_and_age,google,5,18,85,75,5,0.5081967213114754
standard,Statistic_intersection,with_gender_and_age,google,13,21,137,23,2,0.24043715846994534
standard,Statistic_intersection,with_gender_and_age,salesforce,1,2,2,173,6,0.9562841530054644
standard,Statistic_intersection,with_gender_and_age,salesforce,3,3,4,171,5,0.9508196721311475
standard,Statistic_intersection,with_gender_and_age,salesforce,5,3,11,164,5,0.912568306010929
standard,Statistic_intersection,with_gender_and_age,salesforce,13,4,32,143,4,0.8032786885245902
standard,Statistic_intersection,with_gender_and_age,microsoft,1,5,21,142,15,0.8032786885245902
standard,Statistic_intersection,with_gender_and_age,microsoft,3,11,48,115,9,0.6885245901639344
standard,Statistic_intersection,with_gender_and_age,microsoft,5,11,74,89,9,0.546448087431694
standard,Statistic_intersection,with_gender_and_age,microsoft,13,16,125,38,4,0.29508196721311475
standard,Statistic_intersection,with_gender_and_age,oracle,1,6,10,156,11,0.8852459016393442
standard,Statistic_intersection,with_gender_and_age,oracle,3,10,28,138,7,0.8087431693989071
standard,Statistic_intersection,with_gender_and_age,oracle,5,10,48,118,7,0.6994535519125683
standard,Statistic_intersection,with_gender_and_age,oracle,13,13,106,60,4,0.3989071038251366
standard,Statistic_intersection,with_gender_and_age,nvidia,1,0,0,180,3,0.9836065573770492
standard,Statistic_intersection,with_gender_and_age,nvidia,3,0,1,179,3,0.9781420765027322
standard,Statistic_intersection,with_gender_and_age,nvidia,5,0,2,178,3,0.9726775956284153
standard,Statistic_intersection,with_gender_and_age,nvidia,13,0,3,177,3,0.9672131147540983
