Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
standard,Statistic_list_frequency,with_gender_and_age,salesforce,1,0,1,174,8,0.9508196721311475
standard,Statistic_list_frequency,with_gender_and_age,salesforce,3,1,7,168,7,0.9234972677595629
standard,Statistic_list_frequency,with_gender_and_age,salesforce,5,2,18,157,6,0.8688524590163934
standard,Statistic_list_frequency,with_gender_and_age,salesforce,13,3,59,116,5,0.6502732240437158
standard,Statistic_list_frequency,with_gender_and_age,ibm,1,8,14,146,15,0.8415300546448088
standard,Statistic_list_frequency,with_gender_and_age,ibm,3,10,34,126,13,0.7431693989071039
standard,Statistic_list_frequency,with_gender_and_age,ibm,5,15,57,103,8,0.644808743169399
standard,Statistic_list_frequency,with_gender_and_age,ibm,13,19,109,51,4,0.3825136612021858
standard,Statistic_list_frequency,with_gender_and_age,twitter,1,4,10,162,7,0.907103825136612
standard,Statistic_list_frequency,with_gender_and_age,twitter,3,6,40,132,5,0.7540983606557377
standard,Statistic_list_frequency,with_gender_and_age,twitter,5,6,60,112,5,0.644808743169399
standard,Statistic_list_frequency,with_gender_and_age,twitter,13,8,103,69,3,0.4207650273224044
standard,Statistic_list_frequency,with_gender_and_age,facebook,1,2,16,152,13,0.8415300546448088
standard,Statistic_list_frequency,with_gender_and_age,facebook,3,2,42,126,13,0.6994535519125683
standard,Statistic_list_frequency,with_gender_and_age,facebook,5,4,58,110,11,0.6229508196721312
standard,Statistic_list_frequency,with_gender_and_age,facebook,13,14,125,43,1,0.3114754098360656
standard,Statistic_list_frequency,with_gender_and_age,google,1,5,14,146,18,0.825136612021858
standard,Statistic_list_frequency,with_gender_and_age,google,3,13,57,103,10,0.6338797814207651
standard,Statistic_list_frequency,with_gender_and_age,google,5,17,90,70,6,0.47540983606557374
standard,Statistic_list_frequency,with_gender_and_age,google,13,20,129,31,3,0.2786885245901639
standard,Statistic_list_frequency,with_gender_and_age,uber-com,1,1,2,174,6,0.9562841530054644
standard,Statistic_list_frequency,with_gender_and_age,uber-com,3,2,6,170,5,0.9398907103825137
standard,Statistic_list_frequency,with_gender_and_age,uber-com,5,2,13,163,5,0.9016393442622951
standard,Statistic_list_frequency,with_gender_and_age,uber-com,13,3,37,139,4,0.7759562841530054
standard,Statistic_list_frequency,with_gender_and_age,tesla-motors,1,1,3,177,2,0.9726775956284153
standard,Statistic_list_frequency,with_gender_and_age,tesla-motors,3,1,9,171,2,0.9398907103825137
standard,Statistic_list_frequency,with_gender_and_age,tesla-motors,5,1,16,164,2,0.9016393442622951
standard,Statistic_list_frequency,with_gender_and_age,tesla-motors,13,2,48,132,1,0.73224043715847
standard,Statistic_list_frequency,with_gender_and_age,apple,1,4,22,143,14,0.8032786885245902
standard,Statistic_list_frequency,with_gender_and_age,apple,3,8,49,116,10,0.6775956284153005
standard,Statistic_list_frequency,with_gender_and_age,apple,5,10,64,101,8,0.6065573770491803
standard,Statistic_list_frequency,with_gender_and_age,apple,13,15,103,62,3,0.4207650273224044
standard,Statistic_list_frequency,with_gender_and_age,adobe,1,3,12,153,15,0.8524590163934426
standard,Statistic_list_frequency,with_gender_and_age,adobe,3,5,34,131,13,0.7431693989071039
standard,Statistic_list_frequency,with_gender_and_age,adobe,5,5,44,121,13,0.6885245901639344
standard,Statistic_list_frequency,with_gender_and_age,adobe,13,7,77,88,11,0.5191256830601093
standard,Statistic_list_frequency,with_gender_and_age,nvidia,1,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,with_gender_and_age,nvidia,3,0,0,180,3,0.9836065573770492
standard,Statistic_list_frequency,with_gender_and_age,nvidia,5,0,1,179,3,0.9781420765027322
standard,Statistic_list_frequency,with_gender_and_age,nvidia,13,0,12,168,3,0.9180327868852459
standard,Statistic_list_frequency,with_gender_and_age,microsoft,1,3,18,145,17,0.8087431693989071
standard,Statistic_list_frequency,with_gender_and_age,microsoft,3,6,33,130,14,0.7431693989071039
standard,Statistic_list_frequency,with_gender_and_age,microsoft,5,9,40,123,11,0.7213114754098361
standard,Statistic_list_frequency,with_gender_and_age,microsoft,13,14,97,66,6,0.4371584699453552
standard,Statistic_list_frequency,with_gender_and_age,oracle,1,4,14,152,13,0.8524590163934426
standard,Statistic_list_frequency,with_gender_and_age,oracle,3,9,29,137,8,0.7978142076502732
standard,Statistic_list_frequency,with_gender_and_age,oracle,5,9,50,116,8,0.6830601092896175
standard,Statistic_list_frequency,with_gender_and_age,oracle,13,12,92,74,5,0.46994535519125685
standard,Statistic_list_frequency,with_gender_and_age,amazon,1,2,20,146,15,0.8087431693989071
standard,Statistic_list_frequency,with_gender_and_age,amazon,3,5,47,119,12,0.6775956284153005
standard,Statistic_list_frequency,with_gender_and_age,amazon,5,7,70,96,10,0.5628415300546448
standard,Statistic_list_frequency,with_gender_and_age,amazon,13,12,116,50,5,0.33879781420765026
