Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
age_no_gender,Statistic_intersection,facebook,1,0,4,49,1,0.9074074074074074
age_no_gender,Statistic_intersection,facebook,3,1,14,39,0,0.7407407407407407
age_no_gender,Statistic_intersection,facebook,5,1,16,37,0,0.7037037037037037
age_no_gender,Statistic_intersection,facebook,11,1,31,22,0,0.42592592592592593
age_no_gender,Statistic_intersection,amazon,1,2,9,42,1,0.8148148148148148
age_no_gender,Statistic_intersection,amazon,3,2,28,23,1,0.46296296296296297
age_no_gender,Statistic_intersection,amazon,5,2,34,17,1,0.35185185185185186
age_no_gender,Statistic_intersection,amazon,11,3,41,10,0,0.24074074074074073
age_no_gender,Statistic_intersection,salesforce,1,0,0,53,1,0.9814814814814815
age_no_gender,Statistic_intersection,salesforce,3,0,0,53,1,0.9814814814814815
age_no_gender,Statistic_intersection,salesforce,5,0,0,53,1,0.9814814814814815
age_no_gender,Statistic_intersection,salesforce,11,0,5,48,1,0.8888888888888888
age_no_gender,Statistic_intersection,apple,1,0,1,47,6,0.8703703703703703
age_no_gender,Statistic_intersection,apple,3,0,7,41,6,0.7592592592592593
age_no_gender,Statistic_intersection,apple,5,0,10,38,6,0.7037037037037037
age_no_gender,Statistic_intersection,apple,11,3,21,27,3,0.5555555555555556
age_no_gender,Statistic_intersection,oracle,1,0,1,49,4,0.9074074074074074
age_no_gender,Statistic_intersection,oracle,3,0,3,47,4,0.8703703703703703
age_no_gender,Statistic_intersection,oracle,5,0,6,44,4,0.8148148148148148
age_no_gender,Statistic_intersection,oracle,11,0,20,30,4,0.5555555555555556
age_no_gender,Statistic_intersection,twitter,1,1,3,47,3,0.8888888888888888
age_no_gender,Statistic_intersection,twitter,3,1,9,41,3,0.7777777777777778
age_no_gender,Statistic_intersection,twitter,5,1,17,33,3,0.6296296296296297
age_no_gender,Statistic_intersection,twitter,11,3,29,21,1,0.4444444444444444
age_no_gender,Statistic_intersection,uber-com,1,0,1,50,3,0.9259259259259259
age_no_gender,Statistic_intersection,uber-com,3,0,1,50,3,0.9259259259259259
age_no_gender,Statistic_intersection,uber-com,5,2,2,49,1,0.9444444444444444
age_no_gender,Statistic_intersection,uber-com,11,2,2,49,1,0.9444444444444444
age_no_gender,Statistic_intersection,google,1,2,6,40,6,0.7777777777777778
age_no_gender,Statistic_intersection,google,3,6,17,29,2,0.6481481481481481
age_no_gender,Statistic_intersection,google,5,7,30,16,1,0.42592592592592593
age_no_gender,Statistic_intersection,google,11,8,44,2,0,0.18518518518518517
age_no_gender,Statistic_intersection,ibm,1,0,7,39,8,0.7222222222222222
age_no_gender,Statistic_intersection,ibm,3,1,10,36,7,0.6851851851851852
age_no_gender,Statistic_intersection,ibm,5,2,15,31,6,0.6111111111111112
age_no_gender,Statistic_intersection,ibm,11,7,26,20,1,0.5
age_no_gender,Statistic_intersection,adobe,1,2,8,40,4,0.7777777777777778
age_no_gender,Statistic_intersection,adobe,3,3,18,30,3,0.6111111111111112
age_no_gender,Statistic_intersection,adobe,5,5,24,24,1,0.5370370370370371
age_no_gender,Statistic_intersection,adobe,11,5,34,14,1,0.35185185185185186
age_no_gender,Statistic_intersection,microsoft,1,1,6,38,9,0.7222222222222222
age_no_gender,Statistic_intersection,microsoft,3,3,17,27,7,0.5555555555555556
age_no_gender,Statistic_intersection,microsoft,5,6,24,20,4,0.48148148148148145
age_no_gender,Statistic_intersection,microsoft,11,7,38,6,3,0.24074074074074073
