Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
gender_no_age,Statistic_intersection,facebook,1,0,2,50,1,0.9433962264150944
gender_no_age,Statistic_intersection,facebook,3,0,5,47,1,0.8867924528301887
gender_no_age,Statistic_intersection,facebook,5,0,8,44,1,0.8301886792452831
gender_no_age,Statistic_intersection,facebook,11,0,22,30,1,0.5660377358490566
gender_no_age,Statistic_intersection,amazon,1,0,4,46,3,0.8679245283018868
gender_no_age,Statistic_intersection,amazon,3,0,20,30,3,0.5660377358490566
gender_no_age,Statistic_intersection,amazon,5,1,25,25,2,0.49056603773584906
gender_no_age,Statistic_intersection,amazon,11,2,34,16,1,0.33962264150943394
gender_no_age,Statistic_intersection,salesforce,1,0,3,49,1,0.9245283018867925
gender_no_age,Statistic_intersection,salesforce,3,0,6,46,1,0.8679245283018868
gender_no_age,Statistic_intersection,salesforce,5,0,8,44,1,0.8301886792452831
gender_no_age,Statistic_intersection,salesforce,11,0,14,38,1,0.7169811320754716
gender_no_age,Statistic_intersection,apple,1,0,2,45,6,0.8490566037735849
gender_no_age,Statistic_intersection,apple,3,0,9,38,6,0.7169811320754716
gender_no_age,Statistic_intersection,apple,5,3,16,31,3,0.6415094339622641
gender_no_age,Statistic_intersection,apple,11,4,26,21,2,0.4716981132075472
gender_no_age,Statistic_intersection,oracle,1,0,6,43,4,0.8113207547169812
gender_no_age,Statistic_intersection,oracle,3,1,11,38,3,0.7358490566037735
gender_no_age,Statistic_intersection,oracle,5,1,17,32,3,0.6226415094339622
gender_no_age,Statistic_intersection,oracle,11,2,29,20,2,0.41509433962264153
gender_no_age,Statistic_intersection,twitter,1,0,3,46,4,0.8679245283018868
gender_no_age,Statistic_intersection,twitter,3,0,7,42,4,0.7924528301886793
gender_no_age,Statistic_intersection,twitter,5,2,13,36,2,0.7169811320754716
gender_no_age,Statistic_intersection,twitter,11,4,24,25,0,0.5471698113207547
gender_no_age,Statistic_intersection,google,1,1,4,41,7,0.7924528301886793
gender_no_age,Statistic_intersection,google,3,3,15,30,5,0.6226415094339622
gender_no_age,Statistic_intersection,google,5,3,21,24,5,0.5094339622641509
gender_no_age,Statistic_intersection,google,11,6,37,8,2,0.2641509433962264
gender_no_age,Statistic_intersection,uber,1,0,1,49,3,0.9245283018867925
gender_no_age,Statistic_intersection,uber,3,0,2,48,3,0.9056603773584906
gender_no_age,Statistic_intersection,uber,5,0,4,46,3,0.8679245283018868
gender_no_age,Statistic_intersection,uber,11,0,7,43,3,0.8113207547169812
gender_no_age,Statistic_intersection,ibm,1,2,3,42,6,0.8301886792452831
gender_no_age,Statistic_intersection,ibm,3,6,5,40,2,0.8679245283018868
gender_no_age,Statistic_intersection,ibm,5,7,19,26,1,0.6226415094339622
gender_no_age,Statistic_intersection,ibm,11,8,38,7,0,0.2830188679245283
gender_no_age,Statistic_intersection,adobe,1,2,11,36,4,0.7169811320754716
gender_no_age,Statistic_intersection,adobe,3,2,19,28,4,0.5660377358490566
gender_no_age,Statistic_intersection,adobe,5,2,24,23,4,0.4716981132075472
gender_no_age,Statistic_intersection,adobe,11,6,39,8,0,0.2641509433962264
gender_no_age,Statistic_intersection,microsoft,1,2,7,37,7,0.7358490566037735
gender_no_age,Statistic_intersection,microsoft,3,4,19,25,5,0.5471698113207547
gender_no_age,Statistic_intersection,microsoft,5,8,30,14,1,0.41509433962264153
gender_no_age,Statistic_intersection,microsoft,11,9,39,5,0,0.2641509433962264
