Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
gender_no_age,Statistic_list_frequency,facebook,1,0,2,51,1,0.9444444444444444
gender_no_age,Statistic_list_frequency,facebook,3,1,18,35,0,0.6666666666666666
gender_no_age,Statistic_list_frequency,facebook,5,1,28,25,0,0.48148148148148145
gender_no_age,Statistic_list_frequency,facebook,11,1,43,10,0,0.2037037037037037
gender_no_age,Statistic_list_frequency,amazon,1,0,2,49,3,0.9074074074074074
gender_no_age,Statistic_list_frequency,amazon,3,1,17,34,2,0.6481481481481481
gender_no_age,Statistic_list_frequency,amazon,5,2,23,28,1,0.5555555555555556
gender_no_age,Statistic_list_frequency,amazon,11,2,36,15,1,0.3148148148148148
gender_no_age,Statistic_list_frequency,salesforce,1,0,0,53,1,0.9814814814814815
gender_no_age,Statistic_list_frequency,salesforce,3,0,0,53,1,0.9814814814814815
gender_no_age,Statistic_list_frequency,salesforce,5,0,1,52,1,0.9629629629629629
gender_no_age,Statistic_list_frequency,salesforce,11,0,3,50,1,0.9259259259259259
gender_no_age,Statistic_list_frequency,apple,1,1,3,45,5,0.8518518518518519
gender_no_age,Statistic_list_frequency,apple,3,1,5,43,5,0.8148148148148148
gender_no_age,Statistic_list_frequency,apple,5,1,11,37,5,0.7037037037037037
gender_no_age,Statistic_list_frequency,apple,11,3,25,23,3,0.48148148148148145
gender_no_age,Statistic_list_frequency,oracle,1,0,0,50,4,0.9259259259259259
gender_no_age,Statistic_list_frequency,oracle,3,0,10,40,4,0.7407407407407407
gender_no_age,Statistic_list_frequency,oracle,5,0,13,37,4,0.6851851851851852
gender_no_age,Statistic_list_frequency,oracle,11,1,24,26,3,0.5
gender_no_age,Statistic_list_frequency,twitter,1,0,1,49,4,0.9074074074074074
gender_no_age,Statistic_list_frequency,twitter,3,1,2,48,3,0.9074074074074074
gender_no_age,Statistic_list_frequency,twitter,5,1,6,44,3,0.8333333333333334
gender_no_age,Statistic_list_frequency,twitter,11,2,12,38,2,0.7407407407407407
gender_no_age,Statistic_list_frequency,google,1,1,7,39,7,0.7407407407407407
gender_no_age,Statistic_list_frequency,google,3,2,18,28,6,0.5555555555555556
gender_no_age,Statistic_list_frequency,google,5,3,27,19,5,0.4074074074074074
gender_no_age,Statistic_list_frequency,google,11,7,43,3,1,0.18518518518518517
gender_no_age,Statistic_list_frequency,uber,1,0,6,45,3,0.8333333333333334
gender_no_age,Statistic_list_frequency,uber,3,0,11,40,3,0.7407407407407407
gender_no_age,Statistic_list_frequency,uber,5,0,17,34,3,0.6296296296296297
gender_no_age,Statistic_list_frequency,uber,11,1,30,21,2,0.4074074074074074
gender_no_age,Statistic_list_frequency,ibm,1,1,8,38,7,0.7222222222222222
gender_no_age,Statistic_list_frequency,ibm,3,3,13,33,5,0.6666666666666666
gender_no_age,Statistic_list_frequency,ibm,5,3,21,25,5,0.5185185185185185
gender_no_age,Statistic_list_frequency,ibm,11,6,37,9,2,0.2777777777777778
gender_no_age,Statistic_list_frequency,adobe,1,2,12,36,4,0.7037037037037037
gender_no_age,Statistic_list_frequency,adobe,3,6,23,25,0,0.5740740740740741
gender_no_age,Statistic_list_frequency,adobe,5,6,36,12,0,0.3333333333333333
gender_no_age,Statistic_list_frequency,adobe,11,6,47,1,0,0.12962962962962962
gender_no_age,Statistic_list_frequency,microsoft,1,2,6,38,8,0.7407407407407407
gender_no_age,Statistic_list_frequency,microsoft,3,5,11,33,5,0.7037037037037037
gender_no_age,Statistic_list_frequency,microsoft,5,6,19,25,4,0.5740740740740741
gender_no_age,Statistic_list_frequency,microsoft,11,8,35,9,2,0.3148148148148148
