Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
no_age_no_gender,Statistic_intersection,facebook,1,0,4,48,1,0.9056603773584906
no_age_no_gender,Statistic_intersection,facebook,3,0,12,40,1,0.7547169811320755
no_age_no_gender,Statistic_intersection,facebook,5,0,14,38,1,0.7169811320754716
no_age_no_gender,Statistic_intersection,facebook,11,0,33,19,1,0.3584905660377358
no_age_no_gender,Statistic_intersection,amazon,1,0,12,38,3,0.7169811320754716
no_age_no_gender,Statistic_intersection,amazon,3,1,21,29,2,0.5660377358490566
no_age_no_gender,Statistic_intersection,amazon,5,1,29,21,2,0.41509433962264153
no_age_no_gender,Statistic_intersection,amazon,11,2,42,8,1,0.18867924528301888
no_age_no_gender,Statistic_intersection,salesforce,1,0,0,52,1,0.9811320754716981
no_age_no_gender,Statistic_intersection,salesforce,3,0,1,51,1,0.9622641509433962
no_age_no_gender,Statistic_intersection,salesforce,5,0,3,49,1,0.9245283018867925
no_age_no_gender,Statistic_intersection,salesforce,11,0,5,47,1,0.8867924528301887
no_age_no_gender,Statistic_intersection,apple,1,0,0,47,6,0.8867924528301887
no_age_no_gender,Statistic_intersection,apple,3,0,6,41,6,0.7735849056603774
no_age_no_gender,Statistic_intersection,apple,5,1,11,36,5,0.6981132075471698
no_age_no_gender,Statistic_intersection,apple,11,3,16,31,3,0.6415094339622641
no_age_no_gender,Statistic_intersection,oracle,1,1,12,37,3,0.7169811320754716
no_age_no_gender,Statistic_intersection,oracle,3,1,17,32,3,0.6226415094339622
no_age_no_gender,Statistic_intersection,oracle,5,1,21,28,3,0.5471698113207547
no_age_no_gender,Statistic_intersection,oracle,11,1,33,16,3,0.32075471698113206
no_age_no_gender,Statistic_intersection,twitter,1,0,0,49,4,0.9245283018867925
no_age_no_gender,Statistic_intersection,twitter,3,0,8,41,4,0.7735849056603774
no_age_no_gender,Statistic_intersection,twitter,5,1,14,35,3,0.6792452830188679
no_age_no_gender,Statistic_intersection,twitter,11,2,26,23,2,0.4716981132075472
no_age_no_gender,Statistic_intersection,google,1,2,8,37,6,0.7358490566037735
no_age_no_gender,Statistic_intersection,google,3,4,20,25,4,0.5471698113207547
no_age_no_gender,Statistic_intersection,google,5,7,28,17,1,0.4528301886792453
no_age_no_gender,Statistic_intersection,google,11,8,43,2,0,0.18867924528301888
no_age_no_gender,Statistic_intersection,uber,1,0,1,49,3,0.9245283018867925
no_age_no_gender,Statistic_intersection,uber,3,0,1,49,3,0.9245283018867925
no_age_no_gender,Statistic_intersection,uber,5,0,1,49,3,0.9245283018867925
no_age_no_gender,Statistic_intersection,uber,11,0,1,49,3,0.9245283018867925
no_age_no_gender,Statistic_intersection,ibm,1,0,6,39,8,0.7358490566037735
no_age_no_gender,Statistic_intersection,ibm,3,2,11,34,6,0.6792452830188679
no_age_no_gender,Statistic_intersection,ibm,5,4,20,25,4,0.5471698113207547
no_age_no_gender,Statistic_intersection,ibm,11,6,36,9,2,0.2830188679245283
no_age_no_gender,Statistic_intersection,adobe,1,0,3,44,6,0.8301886792452831
no_age_no_gender,Statistic_intersection,adobe,3,1,11,36,5,0.6981132075471698
no_age_no_gender,Statistic_intersection,adobe,5,1,22,25,5,0.49056603773584906
no_age_no_gender,Statistic_intersection,adobe,11,2,37,10,4,0.22641509433962265
no_age_no_gender,Statistic_intersection,microsoft,1,1,3,41,8,0.7924528301886793
no_age_no_gender,Statistic_intersection,microsoft,3,3,17,27,6,0.5660377358490566
no_age_no_gender,Statistic_intersection,microsoft,5,4,25,19,5,0.4339622641509434
no_age_no_gender,Statistic_intersection,microsoft,11,9,42,2,0,0.20754716981132076
