Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
no_age_no_gender,Statistic_list_frequency,facebook,1,0,8,44,1,0.8301886792452831
no_age_no_gender,Statistic_list_frequency,facebook,3,1,24,28,0,0.5471698113207547
no_age_no_gender,Statistic_list_frequency,facebook,5,1,32,20,0,0.39622641509433965
no_age_no_gender,Statistic_list_frequency,facebook,11,1,46,6,0,0.1320754716981132
no_age_no_gender,Statistic_list_frequency,amazon,1,1,5,45,2,0.8679245283018868
no_age_no_gender,Statistic_list_frequency,amazon,3,2,13,37,1,0.7358490566037735
no_age_no_gender,Statistic_list_frequency,amazon,5,2,22,28,1,0.5660377358490566
no_age_no_gender,Statistic_list_frequency,amazon,11,2,36,14,1,0.3018867924528302
no_age_no_gender,Statistic_list_frequency,salesforce,1,0,0,52,1,0.9811320754716981
no_age_no_gender,Statistic_list_frequency,salesforce,3,0,4,48,1,0.9056603773584906
no_age_no_gender,Statistic_list_frequency,salesforce,5,0,4,48,1,0.9056603773584906
no_age_no_gender,Statistic_list_frequency,salesforce,11,0,9,43,1,0.8113207547169812
no_age_no_gender,Statistic_list_frequency,apple,1,0,3,44,6,0.8301886792452831
no_age_no_gender,Statistic_list_frequency,apple,3,1,7,40,5,0.7735849056603774
no_age_no_gender,Statistic_list_frequency,apple,5,2,13,34,4,0.6792452830188679
no_age_no_gender,Statistic_list_frequency,apple,11,3,26,21,3,0.4528301886792453
no_age_no_gender,Statistic_list_frequency,oracle,1,0,2,47,4,0.8867924528301887
no_age_no_gender,Statistic_list_frequency,oracle,3,2,7,42,2,0.8301886792452831
no_age_no_gender,Statistic_list_frequency,oracle,5,2,10,39,2,0.7735849056603774
no_age_no_gender,Statistic_list_frequency,oracle,11,3,24,25,1,0.5283018867924528
no_age_no_gender,Statistic_list_frequency,twitter,1,0,5,44,4,0.8301886792452831
no_age_no_gender,Statistic_list_frequency,twitter,3,1,9,40,3,0.7735849056603774
no_age_no_gender,Statistic_list_frequency,twitter,5,1,9,40,3,0.7735849056603774
no_age_no_gender,Statistic_list_frequency,twitter,11,1,18,31,3,0.6037735849056604
no_age_no_gender,Statistic_list_frequency,google,1,2,4,41,6,0.8113207547169812
no_age_no_gender,Statistic_list_frequency,google,3,5,22,23,3,0.5283018867924528
no_age_no_gender,Statistic_list_frequency,google,5,5,30,15,3,0.37735849056603776
no_age_no_gender,Statistic_list_frequency,google,11,7,42,3,1,0.18867924528301888
no_age_no_gender,Statistic_list_frequency,uber,1,0,0,50,3,0.9433962264150944
no_age_no_gender,Statistic_list_frequency,uber,3,0,0,50,3,0.9433962264150944
no_age_no_gender,Statistic_list_frequency,uber,5,0,0,50,3,0.9433962264150944
no_age_no_gender,Statistic_list_frequency,uber,11,0,1,49,3,0.9245283018867925
no_age_no_gender,Statistic_list_frequency,ibm,1,0,9,36,8,0.6792452830188679
no_age_no_gender,Statistic_list_frequency,ibm,3,0,18,27,8,0.5094339622641509
no_age_no_gender,Statistic_list_frequency,ibm,5,2,26,19,6,0.39622641509433965
no_age_no_gender,Statistic_list_frequency,ibm,11,5,36,9,3,0.2641509433962264
no_age_no_gender,Statistic_list_frequency,adobe,1,1,9,38,5,0.7358490566037735
no_age_no_gender,Statistic_list_frequency,adobe,3,2,13,34,4,0.6792452830188679
no_age_no_gender,Statistic_list_frequency,adobe,5,3,22,25,3,0.5283018867924528
no_age_no_gender,Statistic_list_frequency,adobe,11,5,31,16,1,0.39622641509433965
no_age_no_gender,Statistic_list_frequency,microsoft,1,0,4,40,9,0.7547169811320755
no_age_no_gender,Statistic_list_frequency,microsoft,3,4,14,30,5,0.6415094339622641
no_age_no_gender,Statistic_list_frequency,microsoft,5,7,23,21,2,0.5283018867924528
no_age_no_gender,Statistic_list_frequency,microsoft,11,8,36,8,1,0.3018867924528302
