Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
with_gender_and_age,Statistic_intersection,facebook,1,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,facebook,3,0,4,49,1,0.9074074074074074
with_gender_and_age,Statistic_intersection,facebook,5,0,7,46,1,0.8518518518518519
with_gender_and_age,Statistic_intersection,facebook,11,0,19,34,1,0.6296296296296297
with_gender_and_age,Statistic_intersection,amazon,1,0,9,42,3,0.7777777777777778
with_gender_and_age,Statistic_intersection,amazon,3,1,15,36,2,0.6851851851851852
with_gender_and_age,Statistic_intersection,amazon,5,1,23,28,2,0.5370370370370371
with_gender_and_age,Statistic_intersection,amazon,11,2,38,13,1,0.2777777777777778
with_gender_and_age,Statistic_intersection,salesforce,1,0,2,51,1,0.9444444444444444
with_gender_and_age,Statistic_intersection,salesforce,3,1,4,49,0,0.9259259259259259
with_gender_and_age,Statistic_intersection,salesforce,5,1,5,48,0,0.9074074074074074
with_gender_and_age,Statistic_intersection,salesforce,11,1,10,43,0,0.8148148148148148
with_gender_and_age,Statistic_intersection,apple,1,0,2,46,6,0.8518518518518519
with_gender_and_age,Statistic_intersection,apple,3,0,7,41,6,0.7592592592592593
with_gender_and_age,Statistic_intersection,apple,5,1,14,34,5,0.6481481481481481
with_gender_and_age,Statistic_intersection,apple,11,3,25,23,3,0.48148148148148145
with_gender_and_age,Statistic_intersection,oracle,1,0,13,37,4,0.6851851851851852
with_gender_and_age,Statistic_intersection,oracle,3,1,21,29,3,0.5555555555555556
with_gender_and_age,Statistic_intersection,oracle,5,1,27,23,3,0.4444444444444444
with_gender_and_age,Statistic_intersection,oracle,11,4,37,13,0,0.3148148148148148
with_gender_and_age,Statistic_intersection,twitter,1,0,1,49,4,0.9074074074074074
with_gender_and_age,Statistic_intersection,twitter,3,0,2,48,4,0.8888888888888888
with_gender_and_age,Statistic_intersection,twitter,5,0,5,45,4,0.8333333333333334
with_gender_and_age,Statistic_intersection,twitter,11,0,18,32,4,0.5925925925925926
with_gender_and_age,Statistic_intersection,uber-com,1,0,0,51,3,0.9444444444444444
with_gender_and_age,Statistic_intersection,uber-com,3,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,uber-com,5,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,uber-com,11,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,google,1,0,8,38,8,0.7037037037037037
with_gender_and_age,Statistic_intersection,google,3,1,15,31,7,0.5925925925925926
with_gender_and_age,Statistic_intersection,google,5,2,27,19,6,0.3888888888888889
with_gender_and_age,Statistic_intersection,google,11,5,43,3,3,0.14814814814814814
with_gender_and_age,Statistic_intersection,ibm,1,0,5,41,8,0.7592592592592593
with_gender_and_age,Statistic_intersection,ibm,3,1,8,38,7,0.7222222222222222
with_gender_and_age,Statistic_intersection,ibm,5,3,11,35,5,0.7037037037037037
with_gender_and_age,Statistic_intersection,ibm,11,6,27,19,2,0.46296296296296297
with_gender_and_age,Statistic_intersection,adobe,1,1,4,44,5,0.8333333333333334
with_gender_and_age,Statistic_intersection,adobe,3,4,21,27,2,0.5740740740740741
with_gender_and_age,Statistic_intersection,adobe,5,5,28,20,1,0.46296296296296297
with_gender_and_age,Statistic_intersection,adobe,11,6,39,9,0,0.2777777777777778
with_gender_and_age,Statistic_intersection,microsoft,1,3,6,38,7,0.7592592592592593
with_gender_and_age,Statistic_intersection,microsoft,3,4,21,23,6,0.5
with_gender_and_age,Statistic_intersection,microsoft,5,7,31,13,3,0.37037037037037035
with_gender_and_age,Statistic_intersection,microsoft,11,8,41,3,2,0.2037037037037037
