Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
with_gender_and_age,Statistic_list_frequency,facebook,1,0,9,44,1,0.8148148148148148
with_gender_and_age,Statistic_list_frequency,facebook,3,0,25,28,1,0.5185185185185185
with_gender_and_age,Statistic_list_frequency,facebook,5,0,38,15,1,0.2777777777777778
with_gender_and_age,Statistic_list_frequency,facebook,11,1,49,4,0,0.09259259259259259
with_gender_and_age,Statistic_list_frequency,amazon,1,0,0,51,3,0.9444444444444444
with_gender_and_age,Statistic_list_frequency,amazon,3,0,2,49,3,0.9074074074074074
with_gender_and_age,Statistic_list_frequency,amazon,5,0,8,43,3,0.7962962962962963
with_gender_and_age,Statistic_list_frequency,amazon,11,0,23,28,3,0.5185185185185185
with_gender_and_age,Statistic_list_frequency,salesforce,1,0,2,51,1,0.9444444444444444
with_gender_and_age,Statistic_list_frequency,salesforce,3,0,3,50,1,0.9259259259259259
with_gender_and_age,Statistic_list_frequency,salesforce,5,0,4,49,1,0.9074074074074074
with_gender_and_age,Statistic_list_frequency,salesforce,11,0,9,44,1,0.8148148148148148
with_gender_and_age,Statistic_list_frequency,apple,1,0,0,48,6,0.8888888888888888
with_gender_and_age,Statistic_list_frequency,apple,3,0,0,48,6,0.8888888888888888
with_gender_and_age,Statistic_list_frequency,apple,5,0,0,48,6,0.8888888888888888
with_gender_and_age,Statistic_list_frequency,apple,11,1,6,42,5,0.7962962962962963
with_gender_and_age,Statistic_list_frequency,oracle,1,0,0,50,4,0.9259259259259259
with_gender_and_age,Statistic_list_frequency,oracle,3,1,9,41,3,0.7777777777777778
with_gender_and_age,Statistic_list_frequency,oracle,5,2,15,35,2,0.6851851851851852
with_gender_and_age,Statistic_list_frequency,oracle,11,2,30,20,2,0.4074074074074074
with_gender_and_age,Statistic_list_frequency,twitter,1,0,7,43,4,0.7962962962962963
with_gender_and_age,Statistic_list_frequency,twitter,3,1,8,42,3,0.7962962962962963
with_gender_and_age,Statistic_list_frequency,twitter,5,2,11,39,2,0.7592592592592593
with_gender_and_age,Statistic_list_frequency,twitter,11,2,17,33,2,0.6481481481481481
with_gender_and_age,Statistic_list_frequency,uber-com,1,0,0,51,3,0.9444444444444444
with_gender_and_age,Statistic_list_frequency,uber-com,3,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_list_frequency,uber-com,5,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_list_frequency,uber-com,11,0,2,49,3,0.9074074074074074
with_gender_and_age,Statistic_list_frequency,google,1,0,2,44,8,0.8148148148148148
with_gender_and_age,Statistic_list_frequency,google,3,2,19,27,6,0.5370370370370371
with_gender_and_age,Statistic_list_frequency,google,5,3,23,23,5,0.48148148148148145
with_gender_and_age,Statistic_list_frequency,google,11,8,41,5,0,0.24074074074074073
with_gender_and_age,Statistic_list_frequency,ibm,1,1,8,38,7,0.7222222222222222
with_gender_and_age,Statistic_list_frequency,ibm,3,5,22,24,3,0.5370370370370371
with_gender_and_age,Statistic_list_frequency,ibm,5,5,30,16,3,0.3888888888888889
with_gender_and_age,Statistic_list_frequency,ibm,11,8,42,4,0,0.2222222222222222
with_gender_and_age,Statistic_list_frequency,adobe,1,3,20,28,3,0.5740740740740741
with_gender_and_age,Statistic_list_frequency,adobe,3,4,32,16,2,0.37037037037037035
with_gender_and_age,Statistic_list_frequency,adobe,5,5,38,10,1,0.2777777777777778
with_gender_and_age,Statistic_list_frequency,adobe,11,5,47,1,1,0.1111111111111111
with_gender_and_age,Statistic_list_frequency,microsoft,1,1,1,43,9,0.8148148148148148
with_gender_and_age,Statistic_list_frequency,microsoft,3,4,6,38,6,0.7777777777777778
with_gender_and_age,Statistic_list_frequency,microsoft,5,5,14,30,5,0.6481481481481481
with_gender_and_age,Statistic_list_frequency,microsoft,11,9,30,14,1,0.42592592592592593
