Algorithm,Distance Function,Dataset Variation,Company,Average NDCG
multiclustering,Statistic_list_frequency,age_no_gender,uber-com,0.8171694486525535
multiclustering,Statistic_list_frequency,age_no_gender,facebook,0.36956719630431806
multiclustering,Statistic_list_frequency,age_no_gender,oracle,0.34927730604277524
multiclustering,Statistic_list_frequency,age_no_gender,ibm,0.5145595616536636
multiclustering,Statistic_list_frequency,age_no_gender,adobe,0.23554229629346102
multiclustering,Statistic_list_frequency,age_no_gender,google,0.36300313126878625
multiclustering,Statistic_list_frequency,age_no_gender,nvidia,0.36886473054194086
multiclustering,Statistic_list_frequency,age_no_gender,apple,0.21595346533468007
multiclustering,Statistic_list_frequency,age_no_gender,twitter,0.5011878619728066
multiclustering,Statistic_list_frequency,age_no_gender,salesforce,0.6150835639645182
multiclustering,Statistic_list_frequency,age_no_gender,microsoft,0.2919670539763689
multiclustering,Statistic_list_frequency,age_no_gender,amazon,0.5399770488369167
multiclustering,Statistic_list_frequency,age_no_gender,tesla-motors,0.5733953801892916
