Algorithm,Distance Function,Dataset Variation,Company,Average NDCG
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,0.38362089954708933
multiclustering,Statistic_list_frequency,gender_no_age,amazon,0.4531876783066765
multiclustering,Statistic_list_frequency,gender_no_age,twitter,0.4366630937582289
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,0.40288296133847046
multiclustering,Statistic_list_frequency,gender_no_age,apple,0.30891958521294727
multiclustering,Statistic_list_frequency,gender_no_age,adobe,0.4671403540603932
multiclustering,Statistic_list_frequency,gender_no_age,ibm,0.5663497792633405
multiclustering,Statistic_list_frequency,gender_no_age,uber,0.6037317991496723
multiclustering,Statistic_list_frequency,gender_no_age,google,0.4766320497589209
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,0.2624190212884901
multiclustering,Statistic_list_frequency,gender_no_age,facebook,0.38832787925555956
multiclustering,Statistic_list_frequency,gender_no_age,tesla,0.3301414316650649
multiclustering,Statistic_list_frequency,gender_no_age,oracle,0.4698637531661299
