Algorithm,Distance Function,Dataset Variation,Company,Average NDCG
multiclustering,Statistic_list_frequency,no_age_no_gender,tesla,0.37548178051178066
multiclustering,Statistic_list_frequency,no_age_no_gender,adobe,0.36229641427065074
multiclustering,Statistic_list_frequency,no_age_no_gender,ibm,0.48337541789210564
multiclustering,Statistic_list_frequency,no_age_no_gender,amazon,0.44121387921350463
multiclustering,Statistic_list_frequency,no_age_no_gender,nvidia,0.6051549589285763
multiclustering,Statistic_list_frequency,no_age_no_gender,microsoft,0.32665139909238367
multiclustering,Statistic_list_frequency,no_age_no_gender,google,0.4829682378251087
multiclustering,Statistic_list_frequency,no_age_no_gender,apple,0.39046037274799567
multiclustering,Statistic_list_frequency,no_age_no_gender,facebook,0.3929617656948647
multiclustering,Statistic_list_frequency,no_age_no_gender,twitter,0.511494658268548
multiclustering,Statistic_list_frequency,no_age_no_gender,oracle,0.38498520975339134
multiclustering,Statistic_list_frequency,no_age_no_gender,uber,0.508747652998073
multiclustering,Statistic_list_frequency,no_age_no_gender,salesforce,0.3310410397843424
