Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
multiclustering,Statistic_intersection,age_no_gender,tesla-motors,0,2,178,3,0.0,0.0,0.0
multiclustering,Statistic_intersection,age_no_gender,apple,0,1,164,18,0.0,0.0,0.0
multiclustering,Statistic_intersection,age_no_gender,salesforce,0,4,171,8,0.0,0.0,0.0
multiclustering,Statistic_intersection,age_no_gender,ibm,1,4,156,22,0.2,0.043478260869565216,0.07142857142857142
multiclustering,Statistic_intersection,age_no_gender,amazon,1,4,162,16,0.2,0.058823529411764705,0.0909090909090909
multiclustering,Statistic_intersection,age_no_gender,microsoft,1,10,153,19,0.09090909090909091,0.05,0.06451612903225806
multiclustering,Statistic_intersection,age_no_gender,adobe,1,11,154,17,0.08333333333333333,0.05555555555555555,0.06666666666666667
multiclustering,Statistic_intersection,age_no_gender,nvidia,1,5,175,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
multiclustering,Statistic_intersection,age_no_gender,twitter,5,21,151,6,0.19230769230769232,0.45454545454545453,0.27027027027027023
multiclustering,Statistic_intersection,age_no_gender,google,0,4,156,23,0.0,0.0,0.0
multiclustering,Statistic_intersection,age_no_gender,oracle,7,32,134,10,0.1794871794871795,0.4117647058823529,0.25
multiclustering,Statistic_intersection,age_no_gender,facebook,1,1,167,14,0.5,0.06666666666666667,0.11764705882352941
multiclustering,Statistic_intersection,age_no_gender,uber-com,5,61,115,2,0.07575757575757576,0.7142857142857143,0.136986301369863
