Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
standard,Statistic_intersection,age_no_gender,tesla-motors,3,5,175,0,0.375,1.0,0.5454545454545454
standard,Statistic_intersection,age_no_gender,apple,3,14,151,15,0.17647058823529413,0.16666666666666666,0.17142857142857143
standard,Statistic_intersection,age_no_gender,salesforce,2,3,172,6,0.4,0.25,0.3076923076923077
standard,Statistic_intersection,age_no_gender,ibm,13,14,146,10,0.48148148148148145,0.5652173913043478,0.52
standard,Statistic_intersection,age_no_gender,amazon,6,19,147,11,0.24,0.35294117647058826,0.28571428571428564
standard,Statistic_intersection,age_no_gender,microsoft,2,13,150,18,0.13333333333333333,0.1,0.1142857142857143
standard,Statistic_intersection,age_no_gender,adobe,8,12,153,10,0.4,0.4444444444444444,0.4210526315789474
standard,Statistic_intersection,age_no_gender,nvidia,0,1,179,3,0.0,0.0,0.0
standard,Statistic_intersection,age_no_gender,twitter,3,6,166,8,0.3333333333333333,0.2727272727272727,0.3
standard,Statistic_intersection,age_no_gender,google,6,13,147,17,0.3157894736842105,0.2608695652173913,0.28571428571428575
standard,Statistic_intersection,age_no_gender,oracle,3,10,156,14,0.23076923076923078,0.17647058823529413,0.20000000000000004
standard,Statistic_intersection,age_no_gender,facebook,4,8,160,11,0.3333333333333333,0.26666666666666666,0.2962962962962963
standard,Statistic_intersection,age_no_gender,uber-com,3,9,167,4,0.25,0.42857142857142855,0.3157894736842105
