Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
standard,Statistic_list_frequency,age_no_gender,tesla-motors,0,4,176,3,0.0,0.0,0.0
standard,Statistic_list_frequency,age_no_gender,apple,4,15,150,14,0.21052631578947367,0.2222222222222222,0.21621621621621623
standard,Statistic_list_frequency,age_no_gender,salesforce,0,3,172,8,0.0,0.0,0.0
standard,Statistic_list_frequency,age_no_gender,ibm,10,30,130,13,0.25,0.43478260869565216,0.3174603174603175
standard,Statistic_list_frequency,age_no_gender,amazon,3,16,150,14,0.15789473684210525,0.17647058823529413,0.16666666666666669
standard,Statistic_list_frequency,age_no_gender,microsoft,2,9,154,18,0.18181818181818182,0.1,0.12903225806451613
standard,Statistic_list_frequency,age_no_gender,adobe,2,6,159,16,0.25,0.1111111111111111,0.15384615384615383
standard,Statistic_list_frequency,age_no_gender,nvidia,0,1,179,3,0.0,0.0,0.0
standard,Statistic_list_frequency,age_no_gender,twitter,3,10,162,8,0.23076923076923078,0.2727272727272727,0.24999999999999994
standard,Statistic_list_frequency,age_no_gender,google,6,18,142,17,0.25,0.2608695652173913,0.2553191489361702
standard,Statistic_list_frequency,age_no_gender,oracle,2,5,161,15,0.2857142857142857,0.11764705882352941,0.16666666666666666
standard,Statistic_list_frequency,age_no_gender,facebook,3,22,146,12,0.12,0.2,0.15
standard,Statistic_list_frequency,age_no_gender,uber-com,2,7,169,5,0.2222222222222222,0.2857142857142857,0.25
