Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
multiclustering,Statistic_list_frequency,gender_no_age,apple,0,1,164,18,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,gender_no_age,salesforce,1,1,174,7,0.5,0.125,0.2
multiclustering,Statistic_list_frequency,gender_no_age,ibm,5,17,143,18,0.22727272727272727,0.21739130434782608,0.22222222222222224
multiclustering,Statistic_list_frequency,gender_no_age,amazon,0,5,161,17,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,gender_no_age,microsoft,1,7,156,19,0.125,0.05,0.07142857142857144
multiclustering,Statistic_list_frequency,gender_no_age,adobe,2,4,161,16,0.3333333333333333,0.1111111111111111,0.16666666666666666
multiclustering,Statistic_list_frequency,gender_no_age,twitter,1,19,153,10,0.05,0.09090909090909091,0.06451612903225806
multiclustering,Statistic_list_frequency,gender_no_age,uber,1,84,92,6,0.011764705882352941,0.14285714285714285,0.021739130434782608
multiclustering,Statistic_list_frequency,gender_no_age,google,3,9,151,20,0.25,0.13043478260869565,0.1714285714285714
multiclustering,Statistic_list_frequency,gender_no_age,oracle,2,9,157,15,0.18181818181818182,0.11764705882352941,0.14285714285714285
multiclustering,Statistic_list_frequency,gender_no_age,facebook,1,4,164,14,0.2,0.06666666666666667,0.1
multiclustering,Statistic_list_frequency,gender_no_age,tesla,0,3,177,3,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,gender_no_age,nvidia,0,3,177,3,0.0,0.0,0.0
