Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
standard,Statistic_intersection,no_age_no_gender,apple,1,12,153,17,0.07692307692307693,0.05555555555555555,0.06451612903225808
standard,Statistic_intersection,no_age_no_gender,salesforce,2,7,168,6,0.2222222222222222,0.25,0.23529411764705882
standard,Statistic_intersection,no_age_no_gender,ibm,12,6,154,11,0.6666666666666666,0.5217391304347826,0.5853658536585366
standard,Statistic_intersection,no_age_no_gender,amazon,4,15,151,13,0.21052631578947367,0.23529411764705882,0.2222222222222222
standard,Statistic_intersection,no_age_no_gender,microsoft,2,20,143,18,0.09090909090909091,0.1,0.09523809523809525
standard,Statistic_intersection,no_age_no_gender,adobe,2,10,155,16,0.16666666666666666,0.1111111111111111,0.13333333333333333
standard,Statistic_intersection,no_age_no_gender,twitter,4,18,154,7,0.18181818181818182,0.36363636363636365,0.24242424242424246
standard,Statistic_intersection,no_age_no_gender,uber,1,1,175,6,0.5,0.14285714285714285,0.22222222222222224
standard,Statistic_intersection,no_age_no_gender,google,8,12,148,15,0.4,0.34782608695652173,0.37209302325581395
standard,Statistic_intersection,no_age_no_gender,oracle,4,21,145,13,0.16,0.23529411764705882,0.19047619047619052
standard,Statistic_intersection,no_age_no_gender,facebook,3,7,161,12,0.3,0.2,0.24
standard,Statistic_intersection,no_age_no_gender,tesla,2,6,174,1,0.25,0.6666666666666666,0.36363636363636365
standard,Statistic_intersection,no_age_no_gender,nvidia,1,2,178,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
