Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
standard,Statistic_intersection,with_gender_and_age,tesla-motors,2,2,178,1,0.5,0.6666666666666666,0.5714285714285715
standard,Statistic_intersection,with_gender_and_age,apple,2,9,156,16,0.18181818181818182,0.1111111111111111,0.13793103448275862
standard,Statistic_intersection,with_gender_and_age,salesforce,2,2,173,6,0.5,0.25,0.3333333333333333
standard,Statistic_intersection,with_gender_and_age,ibm,3,12,148,20,0.2,0.13043478260869565,0.15789473684210528
standard,Statistic_intersection,with_gender_and_age,amazon,3,18,148,14,0.14285714285714285,0.17647058823529413,0.15789473684210528
standard,Statistic_intersection,with_gender_and_age,microsoft,5,21,142,15,0.19230769230769232,0.25,0.2173913043478261
standard,Statistic_intersection,with_gender_and_age,adobe,8,12,153,10,0.4,0.4444444444444444,0.4210526315789474
standard,Statistic_intersection,with_gender_and_age,nvidia,0,0,180,3,0.0,0.0,0.0
standard,Statistic_intersection,with_gender_and_age,twitter,4,13,159,7,0.23529411764705882,0.36363636363636365,0.2857142857142857
standard,Statistic_intersection,with_gender_and_age,google,5,20,140,18,0.2,0.21739130434782608,0.20833333333333331
standard,Statistic_intersection,with_gender_and_age,oracle,6,10,156,11,0.375,0.35294117647058826,0.3636363636363636
standard,Statistic_intersection,with_gender_and_age,facebook,3,11,157,12,0.21428571428571427,0.2,0.20689655172413796
standard,Statistic_intersection,with_gender_and_age,uber-com,1,9,167,6,0.1,0.14285714285714285,0.11764705882352941
