Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
standard,Statistic_list_frequency,with_gender_and_age,tesla-motors,1,3,177,2,0.25,0.3333333333333333,0.28571428571428575
standard,Statistic_list_frequency,with_gender_and_age,apple,4,22,143,14,0.15384615384615385,0.2222222222222222,0.18181818181818185
standard,Statistic_list_frequency,with_gender_and_age,salesforce,0,1,174,8,0.0,0.0,0.0
standard,Statistic_list_frequency,with_gender_and_age,ibm,8,14,146,15,0.36363636363636365,0.34782608695652173,0.3555555555555555
standard,Statistic_list_frequency,with_gender_and_age,amazon,2,20,146,15,0.09090909090909091,0.11764705882352941,0.10256410256410256
standard,Statistic_list_frequency,with_gender_and_age,microsoft,3,18,145,17,0.14285714285714285,0.15,0.14634146341463414
standard,Statistic_list_frequency,with_gender_and_age,adobe,3,12,153,15,0.2,0.16666666666666666,0.1818181818181818
standard,Statistic_list_frequency,with_gender_and_age,nvidia,0,0,180,3,0.0,0.0,0.0
standard,Statistic_list_frequency,with_gender_and_age,twitter,4,10,162,7,0.2857142857142857,0.36363636363636365,0.32
standard,Statistic_list_frequency,with_gender_and_age,google,5,14,146,18,0.2631578947368421,0.21739130434782608,0.23809523809523808
standard,Statistic_list_frequency,with_gender_and_age,oracle,4,14,152,13,0.2222222222222222,0.23529411764705882,0.22857142857142856
standard,Statistic_list_frequency,with_gender_and_age,facebook,2,16,152,13,0.1111111111111111,0.13333333333333333,0.1212121212121212
standard,Statistic_list_frequency,with_gender_and_age,uber-com,1,2,174,6,0.3333333333333333,0.14285714285714285,0.2
