Dataset Variation,Distance Function,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
age_no_gender,Statistic_list_frequency,tesla-motors,0,0,53,1,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,microsoft,0,4,41,9,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,twitter,0,8,42,4,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,facebook,0,10,43,1,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,uber-com,0,1,50,3,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,apple,1,3,45,5,0.25,0.16666666666666666,0.2
age_no_gender,Statistic_list_frequency,google,1,6,40,7,0.14285714285714285,0.125,0.13333333333333333
age_no_gender,Statistic_list_frequency,salesforce,0,0,53,1,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,amazon,0,1,50,3,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,adobe,0,8,42,4,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,oracle,0,5,45,4,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,nvidia,0,0,52,2,0.0,0.0,0.0
age_no_gender,Statistic_list_frequency,ibm,0,6,40,8,0.0,0.0,0.0
