Dataset Variation,Distance Function,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
gender_no_age,Statistic_intersection,microsoft,2,7,37,7,0.2222222222222222,0.2222222222222222,0.2222222222222222
gender_no_age,Statistic_intersection,twitter,0,3,46,4,0.0,0.0,0.0
gender_no_age,Statistic_intersection,facebook,0,2,50,1,0.0,0.0,0.0
gender_no_age,Statistic_intersection,apple,0,2,45,6,0.0,0.0,0.0
gender_no_age,Statistic_intersection,tesla,0,0,52,1,0.0,0.0,0.0
gender_no_age,Statistic_intersection,google,1,4,41,7,0.2,0.125,0.15384615384615385
gender_no_age,Statistic_intersection,salesforce,0,3,49,1,0.0,0.0,0.0
gender_no_age,Statistic_intersection,amazon,0,4,46,3,0.0,0.0,0.0
gender_no_age,Statistic_intersection,uber,0,1,49,3,0.0,0.0,0.0
gender_no_age,Statistic_intersection,adobe,2,11,38,2,0.15384615384615385,0.5,0.23529411764705882
gender_no_age,Statistic_intersection,oracle,1,5,45,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
gender_no_age,Statistic_intersection,nvidia,0,0,51,2,0.0,0.0,0.0
gender_no_age,Statistic_intersection,ibm,3,2,43,5,0.6,0.375,0.4615384615384615
