Dataset Variation,Distance Function,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
gender_no_age,Statistic_list_frequency,microsoft,2,6,39,7,0.25,0.2222222222222222,0.23529411764705882
gender_no_age,Statistic_list_frequency,twitter,0,1,49,4,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,facebook,0,2,51,1,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,apple,1,3,45,5,0.25,0.16666666666666666,0.2
gender_no_age,Statistic_list_frequency,tesla,0,0,53,1,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,google,2,6,40,6,0.25,0.25,0.25
gender_no_age,Statistic_list_frequency,salesforce,0,0,53,1,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,amazon,0,2,49,3,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,uber,0,6,45,3,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,adobe,2,12,38,2,0.14285714285714285,0.5,0.22222222222222224
gender_no_age,Statistic_list_frequency,oracle,0,0,50,4,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,nvidia,0,0,52,2,0.0,0.0,0.0
gender_no_age,Statistic_list_frequency,ibm,0,9,37,8,0.0,0.0,0.0
