Dataset Variation,Distance Function,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
no_age_no_gender,Statistic_intersection,microsoft,1,3,41,8,0.25,0.1111111111111111,0.15384615384615383
no_age_no_gender,Statistic_intersection,twitter,0,0,49,4,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,facebook,0,4,48,1,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,apple,0,0,47,6,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,tesla,0,0,52,1,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,google,2,8,37,6,0.2,0.25,0.22222222222222224
no_age_no_gender,Statistic_intersection,salesforce,0,0,52,1,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,amazon,0,12,38,3,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,uber,0,1,49,3,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,adobe,0,3,46,4,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,oracle,0,13,37,3,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,nvidia,0,0,51,2,0.0,0.0,0.0
no_age_no_gender,Statistic_intersection,ibm,0,6,39,8,0.0,0.0,0.0
