Algorithm,Distance Function,Dataset Variation,Target Company,x,TP,FP,TN,FN,Accuracy
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,1,1,3,173,6,0.9508196721311475
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,3,4,30,146,3,0.819672131147541
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,5,6,70,106,1,0.6120218579234973
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,13,7,176,0,0,0.03825136612021858
multiclustering,Statistic_intersection,with_gender_and_age,google,1,1,21,139,22,0.7650273224043715
multiclustering,Statistic_intersection,with_gender_and_age,google,3,8,75,85,15,0.5081967213114754
multiclustering,Statistic_intersection,with_gender_and_age,google,5,19,108,52,4,0.3879781420765027
multiclustering,Statistic_intersection,with_gender_and_age,google,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,with_gender_and_age,amazon,1,0,40,126,17,0.6885245901639344
multiclustering,Statistic_intersection,with_gender_and_age,amazon,3,2,60,106,15,0.5901639344262295
multiclustering,Statistic_intersection,with_gender_and_age,amazon,5,4,70,96,13,0.546448087431694
multiclustering,Statistic_intersection,with_gender_and_age,amazon,13,17,166,0,0,0.09289617486338798
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,1,0,1,174,8,0.9508196721311475
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,3,3,17,158,5,0.8797814207650273
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,5,6,62,113,2,0.6502732240437158
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,13,8,175,0,0,0.04371584699453552
multiclustering,Statistic_intersection,with_gender_and_age,twitter,1,7,67,105,4,0.6120218579234973
multiclustering,Statistic_intersection,with_gender_and_age,twitter,3,11,105,67,0,0.4262295081967213
multiclustering,Statistic_intersection,with_gender_and_age,twitter,5,11,132,40,0,0.2786885245901639
multiclustering,Statistic_intersection,with_gender_and_age,twitter,13,11,172,0,0,0.060109289617486336
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,1,0,3,177,3,0.9672131147540983
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,3,0,14,166,3,0.907103825136612
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,5,1,29,151,2,0.8306010928961749
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,with_gender_and_age,ibm,1,1,0,160,22,0.8797814207650273
multiclustering,Statistic_intersection,with_gender_and_age,ibm,3,3,2,158,20,0.8797814207650273
multiclustering,Statistic_intersection,with_gender_and_age,ibm,5,5,2,158,18,0.8907103825136612
multiclustering,Statistic_intersection,with_gender_and_age,ibm,13,23,160,0,0,0.12568306010928962
multiclustering,Statistic_intersection,with_gender_and_age,apple,1,5,2,163,13,0.9180327868852459
multiclustering,Statistic_intersection,with_gender_and_age,apple,3,9,22,143,9,0.8306010928961749
multiclustering,Statistic_intersection,with_gender_and_age,apple,5,11,63,102,7,0.6174863387978142
multiclustering,Statistic_intersection,with_gender_and_age,apple,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,with_gender_and_age,facebook,1,1,3,165,14,0.907103825136612
multiclustering,Statistic_intersection,with_gender_and_age,facebook,3,5,17,151,10,0.8524590163934426
multiclustering,Statistic_intersection,with_gender_and_age,facebook,5,8,55,113,7,0.6612021857923497
multiclustering,Statistic_intersection,with_gender_and_age,facebook,13,15,168,0,0,0.08196721311475409
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,1,2,10,153,18,0.8469945355191257
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,3,10,70,93,10,0.5628415300546448
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,5,14,98,65,6,0.43169398907103823
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,13,20,163,0,0,0.1092896174863388
multiclustering,Statistic_intersection,with_gender_and_age,adobe,1,1,7,158,17,0.8688524590163934
multiclustering,Statistic_intersection,with_gender_and_age,adobe,3,5,52,113,13,0.644808743169399
multiclustering,Statistic_intersection,with_gender_and_age,adobe,5,10,94,71,8,0.4426229508196721
multiclustering,Statistic_intersection,with_gender_and_age,adobe,13,18,165,0,0,0.09836065573770492
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,1,2,2,178,1,0.9836065573770492
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,3,2,6,174,1,0.9617486338797814
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,5,2,11,169,1,0.9344262295081968
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,13,3,180,0,0,0.01639344262295082
multiclustering,Statistic_intersection,with_gender_and_age,oracle,1,3,0,166,14,0.9234972677595629
multiclustering,Statistic_intersection,with_gender_and_age,oracle,3,7,10,156,10,0.8907103825136612
multiclustering,Statistic_intersection,with_gender_and_age,oracle,5,8,16,150,9,0.8633879781420765
multiclustering,Statistic_intersection,with_gender_and_age,oracle,13,17,166,0,0,0.09289617486338798
