Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
multiclustering,Statistic_intersection,with_gender_and_age,amazon,0,40,126,17,0.0,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,1,3,173,6,0.25,0.14285714285714285,0.18181818181818182
multiclustering,Statistic_intersection,with_gender_and_age,apple,5,2,163,13,0.7142857142857143,0.2777777777777778,0.4
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,0,1,174,8,0.0,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,adobe,1,7,158,17,0.125,0.05555555555555555,0.07692307692307691
multiclustering,Statistic_intersection,with_gender_and_age,facebook,1,3,165,14,0.25,0.06666666666666667,0.10526315789473685
multiclustering,Statistic_intersection,with_gender_and_age,oracle,3,0,166,14,1.0,0.17647058823529413,0.3
multiclustering,Statistic_intersection,with_gender_and_age,google,1,21,139,22,0.045454545454545456,0.043478260869565216,0.04444444444444444
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,2,10,153,18,0.16666666666666666,0.1,0.125
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,2,2,178,1,0.5,0.6666666666666666,0.5714285714285715
multiclustering,Statistic_intersection,with_gender_and_age,ibm,1,0,160,22,1.0,0.043478260869565216,0.08333333333333333
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,0,3,177,3,0.0,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,twitter,7,67,105,4,0.0945945945945946,0.6363636363636364,0.16470588235294117
